Year,Time series,Value
2010,Annual growth rate of real GDP per employed person,3.8
2011,Annual growth rate of real GDP per employed person,2.7
2012,Annual growth rate of real GDP per employed person,-0.7
2013,Annual growth rate of real GDP per employed person,-0.3
2014,Annual growth rate of real GDP per employed person,1.3
2015,Annual growth rate of real GDP per employed person,0.5
2016,Annual growth rate of real GDP per employed person,1.0
2017,Annual growth rate of real GDP per employed person,1.2
2018,Annual growth rate of real GDP per employed person,-0.1
2019,Annual growth rate of real GDP per employed person,-0.3
