Year,Age group,Sex,Value
2010,13 years and under,,11
2011,13 years and under,,29
2012,13 years and under,,19
2013,13 years and under,,18
2014,13 years and under,,22
2015,13 years and under,,19
2016,13 years and under,,36
2017,13 years and under,,67
2018,13 years and under,,18
2010,13 years and under,Male,9
2011,13 years and under,Male,16
2012,13 years and under,Male,8
2013,13 years and under,Male,12
2014,13 years and under,Male,13
2015,13 years and under,Male,12
2016,13 years and under,Male,21
2017,13 years and under,Male,51
2018,13 years and under,Male,9
2010,13 years and under,Female,2
2011,13 years and under,Female,13
2012,13 years and under,Female,11
2013,13 years and under,Female,6
2014,13 years and under,Female,9
2015,13 years and under,Female,7
2016,13 years and under,Female,15
2017,13 years and under,Female,16
2018,13 years and under,Female,9
2010,14 to under 18 years,,108
2011,14 to under 18 years,,95
2012,14 to under 18 years,,96
2013,14 to under 18 years,,92
2014,14 to under 18 years,,76
2015,14 to under 18 years,,87
2016,14 to under 18 years,,111
2017,14 to under 18 years,,53
2018,14 to under 18 years,,112
2010,14 to under 18 years,Male,11
2011,14 to under 18 years,Male,13
2012,14 to under 18 years,Male,8
2013,14 to under 18 years,Male,13
2014,14 to under 18 years,Male,10
2015,14 to under 18 years,Male,7
2016,14 to under 18 years,Male,11
2017,14 to under 18 years,Male,4
2018,14 to under 18 years,Male,16
2010,14 to under 18 years,Female,97
2011,14 to under 18 years,Female,82
2012,14 to under 18 years,Female,88
2013,14 to under 18 years,Female,79
2014,14 to under 18 years,Female,66
2015,14 to under 18 years,Female,80
2016,14 to under 18 years,Female,100
2017,14 to under 18 years,Female,49
2018,14 to under 18 years,Female,96
