Year,Units,Time series,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,Million EUR,Commitments (ODA),r,,,3345.1
2011,Million EUR,Commitments (ODA),r,,,2681.9
2012,Million EUR,Commitments (ODA),r,,,2591.8
2013,Million EUR,Commitments (ODA),r,,,3778.8
2014,Million EUR,Commitments (ODA),r,,,5803.2
2015,Million EUR,Commitments (ODA),r,,,5074.6
2016,Million EUR,Commitments (ODA),r,,,5323.7
2017,Million EUR,Commitments (ODA),r,,,5053.4
2018,Million EUR,Commitments (ODA),r,,,5160.6
2019,Million EUR,Commitments (ODA),r,,,6063.6
2020,Million EUR,Commitments (ODA),r,,,6911.9
2021,Million EUR,Commitments (ODA),r,,,6205.6
2022,Million EUR,Commitments (ODA),,,,7684.0
2010,Million EUR,Gross disbursements (ODA),r,,,2280.2
2011,Million EUR,Gross disbursements (ODA),r,,,2198.3
2012,Million EUR,Gross disbursements (ODA),r,,,1922.8
2013,Million EUR,Gross disbursements (ODA),r,,,2589.4
2014,Million EUR,Gross disbursements (ODA),r,,,3438.9
2015,Million EUR,Gross disbursements (ODA),r,,,4476.5
2016,Million EUR,Gross disbursements (ODA),r,,,4030.8
2017,Million EUR,Gross disbursements (ODA),r,,,4011.8
2018,Million EUR,Gross disbursements (ODA),r,,,3951.5
2019,Million EUR,Gross disbursements (ODA),r,,,4389.7
2020,Million EUR,Gross disbursements (ODA),r,,,5039.1
2021,Million EUR,Gross disbursements (ODA),r,,,4945.3
2022,Million EUR,Gross disbursements (ODA),,,,6285.3
2010,"Million USD, constant prices (2022)",Commitments (ODA),r,,,4520.1
2011,"Million USD, constant prices (2022)",Commitments (ODA),r,,,3585.1
2012,"Million USD, constant prices (2022)",Commitments (ODA),r,,,3413.9
2013,"Million USD, constant prices (2022)",Commitments (ODA),r,,,4881.5
2014,"Million USD, constant prices (2022)",Commitments (ODA),r,,,7359.1
2015,"Million USD, constant prices (2022)",Commitments (ODA),r,,,6317.8
2016,"Million USD, constant prices (2022)",Commitments (ODA),r,,,6541.0
2017,"Million USD, constant prices (2022)",Commitments (ODA),r,,,6116.8
2018,"Million USD, constant prices (2022)",Commitments (ODA),r,,,6123.7
2019,"Million USD, constant prices (2022)",Commitments (ODA),r,,,7045.0
2020,"Million USD, constant prices (2022)",Commitments (ODA),r,,,7882.7
2021,"Million USD, constant prices (2022)",Commitments (ODA),r,,,6870.4
2022,"Million USD, constant prices (2022)",Commitments (ODA),,,,8080.8
2010,"Million USD, constant prices (2022)",Gross disbursements (ODA),r,,,3081.2
2011,"Million USD, constant prices (2022)",Gross disbursements (ODA),r,,,2938.6
2012,"Million USD, constant prices (2022)",Gross disbursements (ODA),r,,,2532.7
2013,"Million USD, constant prices (2022)",Gross disbursements (ODA),r,,,3345.0
2014,"Million USD, constant prices (2022)",Gross disbursements (ODA),r,,,4360.9
2015,"Million USD, constant prices (2022)",Gross disbursements (ODA),r,,,5573.2
2016,"Million USD, constant prices (2022)",Gross disbursements (ODA),r,,,4952.4
2017,"Million USD, constant prices (2022)",Gross disbursements (ODA),r,,,4855.9
2018,"Million USD, constant prices (2022)",Gross disbursements (ODA),r,,,4689.1
2019,"Million USD, constant prices (2022)",Gross disbursements (ODA),r,,,5100.1
2020,"Million USD, constant prices (2022)",Gross disbursements (ODA),r,,,5746.9
2021,"Million USD, constant prices (2022)",Gross disbursements (ODA),r,,,5475.1
2022,"Million USD, constant prices (2022)",Gross disbursements (ODA),,,,6609.9
