Year,Units,Mode of transport,Series,Value
2010,Million passenger-kilometre,,Passenger transport,1117240.0
2011,Million passenger-kilometre,,Passenger transport,1131004.0
2012,Million passenger-kilometre,,Passenger transport,1135558.0
2013,Million passenger-kilometre,,Passenger transport,1143475.0
2014,Million passenger-kilometre,,Passenger transport,1162942.0
2015,Million passenger-kilometre,,Passenger transport,1180646.0
2016,Million passenger-kilometre,,Passenger transport,1204775.0
2017,Million passenger-kilometre,,Passenger transport,1155136.0
2018,Million passenger-kilometre,,Passenger transport,1161885.0
2019,Million passenger-kilometre,,Passenger transport,1170186.0
2020,Million passenger-kilometre,,Passenger transport,945755.0
2021,Million passenger-kilometre,,Passenger transport,
2010,Million passenger-kilometre,Road transport,Passenger transport,78092.0
2011,Million passenger-kilometre,Road transport,Passenger transport,77957.0
2012,Million passenger-kilometre,Road transport,Passenger transport,76019.0
2013,Million passenger-kilometre,Road transport,Passenger transport,76146.0
2014,Million passenger-kilometre,Road transport,Passenger transport,78786.0
2015,Million passenger-kilometre,Road transport,Passenger transport,81771.0
2016,Million passenger-kilometre,Road transport,Passenger transport,81445.0
2017,Million passenger-kilometre,Road transport,Passenger transport,79730.0
2018,Million passenger-kilometre,Road transport,Passenger transport,80103.0
2019,Million passenger-kilometre,Road transport,Passenger transport,78919.0
2020,Million passenger-kilometre,Road transport,Passenger transport,45735.0
2021,Million passenger-kilometre,Road transport,Passenger transport,
2010,Million passenger-kilometre,Rail transport,Passenger transport,83886.0
2011,Million passenger-kilometre,Rail transport,Passenger transport,85414.0
2012,Million passenger-kilometre,Rail transport,Passenger transport,88795.0
2013,Million passenger-kilometre,Rail transport,Passenger transport,89615.0
2014,Million passenger-kilometre,Rail transport,Passenger transport,90976.0
2015,Million passenger-kilometre,Rail transport,Passenger transport,91603.0
2016,Million passenger-kilometre,Rail transport,Passenger transport,94196.0
2017,Million passenger-kilometre,Rail transport,Passenger transport,95530.0
2018,Million passenger-kilometre,Rail transport,Passenger transport,98061.0
2019,Million passenger-kilometre,Rail transport,Passenger transport,102026.0
2020,Million passenger-kilometre,Rail transport,Passenger transport,58816.0
2021,Million passenger-kilometre,Rail transport,Passenger transport,
2010,Million passenger-kilometre,Air transport,Passenger transport,52822.0
2011,Million passenger-kilometre,Air transport,Passenger transport,55215.0
