Year,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Series,Value
2010,r,,,CO₂ emissions per real GDP,268.9
2011,r,,,CO₂ emissions per real GDP,251.7
2012,r,,,CO₂ emissions per real GDP,253.3
2013,r,,,CO₂ emissions per real GDP,258.5
2014,r,,,CO₂ emissions per real GDP,240.9
2015,r,,,CO₂ emissions per real GDP,238.1
2016,r,,,CO₂ emissions per real GDP,233.5
2017,r,,,CO₂ emissions per real GDP,223.7
2018,r,,,CO₂ emissions per real GDP,212.7
2019,r,,,CO₂ emissions per real GDP,197.2
2020,r,,,CO₂ emissions per real GDP,187.4
2021,r,,,CO₂ emissions per real GDP,189.6
2022,p,,,CO₂ emissions per real GDP,183.5
2023,p,,,CO₂ emissions per real GDP,163.4
2024,p,,,CO₂ emissions per real GDP,159.4
2010,r,,,CO₂ emissions per gross value added (price adjusted) in manufacturing industries,316.8
2011,r,,,CO₂ emissions per gross value added (price adjusted) in manufacturing industries,288.3
2012,r,,,CO₂ emissions per gross value added (price adjusted) in manufacturing industries,288.0
2013,r,,,CO₂ emissions per gross value added (price adjusted) in manufacturing industries,287.1
2014,r,,,CO₂ emissions per gross value added (price adjusted) in manufacturing industries,270.5
2015,r,,,CO₂ emissions per gross value added (price adjusted) in manufacturing industries,278.6
2016,r,,,CO₂ emissions per gross value added (price adjusted) in manufacturing industries,272.9
2017,r,,,CO₂ emissions per gross value added (price adjusted) in manufacturing industries,271.7
2018,r,,,CO₂ emissions per gross value added (price adjusted) in manufacturing industries,257.8
2019,r,,,CO₂ emissions per gross value added (price adjusted) in manufacturing industries,255.1
2020,r,,,CO₂ emissions per gross value added (price adjusted) in manufacturing industries,270.1
2021,r,,,CO₂ emissions per gross value added (price adjusted) in manufacturing industries,261.0
2022,p,,,CO₂ emissions per gross value added (price adjusted) in manufacturing industries,234.5
2023,p,,,CO₂ emissions per gross value added (price adjusted) in manufacturing industries,222.4
2024,p,,,CO₂ emissions per gross value added (price adjusted) in manufacturing industries,232.3
