Year,Value,Units
2010,45358.7,"Million USD, constant prices (2022)"
2011,57699.1,"Million USD, constant prices (2022)"
2012,37989.5,"Million USD, constant prices (2022)"
2013,55166.0,"Million USD, constant prices (2022)"
2014,54094.8,"Million USD, constant prices (2022)"
2015,53454.2,"Million USD, constant prices (2022)"
2016,58370.2,"Million USD, constant prices (2022)"
2017,61615.1,"Million USD, constant prices (2022)"
2018,55810.9,"Million USD, constant prices (2022)"
2019,46764.6,"Million USD, constant prices (2022)"
2020,47804.5,"Million USD, constant prices (2022)"
2021,69197.1,"Million USD, constant prices (2022)"
2022,59018.0,"Million USD, constant prices (2022)"
