Year,Value,Series
2010,22601.0,Documents issued for the import and export of protected species
2011,20687.0,Documents issued for the import and export of protected species
2012,21045.0,Documents issued for the import and export of protected species
2013,21364.0,Documents issued for the import and export of protected species
2014,23170.0,Documents issued for the import and export of protected species
2015,23093.0,Documents issued for the import and export of protected species
2016,24248.0,Documents issued for the import and export of protected species
2017,29644.0,Documents issued for the import and export of protected species
2018,31738.0,Documents issued for the import and export of protected species
2019,30397.0,Documents issued for the import and export of protected species
2020,19710.0,Documents issued for the import and export of protected species
2021,,Documents issued for the import and export of protected species
2010,1365.0,Seizures by authorities concerning the protection of species
2011,1208.0,Seizures by authorities concerning the protection of species
2012,1112.0,Seizures by authorities concerning the protection of species
2013,1105.0,Seizures by authorities concerning the protection of species
2014,852.0,Seizures by authorities concerning the protection of species
2015,1301.0,Seizures by authorities concerning the protection of species
2016,915.0,Seizures by authorities concerning the protection of species
2017,934.0,Seizures by authorities concerning the protection of species
2018,1294.0,Seizures by authorities concerning the protection of species
2019,1444.0,Seizures by authorities concerning the protection of species
2020,1240.0,Seizures by authorities concerning the protection of species
2021,1130.0,Seizures by authorities concerning the protection of species
