Year,Value,Units
2010,0.81,"Per 100,000 inhabitants"
2011,0.84,"Per 100,000 inhabitants"
2012,0.78,"Per 100,000 inhabitants"
2013,0.75,"Per 100,000 inhabitants"
2014,0.72,"Per 100,000 inhabitants"
2015,0.58,"Per 100,000 inhabitants"
2016,0.65,"Per 100,000 inhabitants"
2017,0.81,"Per 100,000 inhabitants"
2018,0.59,"Per 100,000 inhabitants"
2019,0.57,"Per 100,000 inhabitants"
2020,0.58,"Per 100,000 inhabitants"
2010,651.0,Number
2011,671.0,Number
2012,626.0,Number
2013,603.0,Number
2014,583.0,Number
2015,470.0,Number
2016,536.0,Number
2017,669.0,Number
2018,493.0,Number
2019,470.0,Number
2020,479.0,Number
