Year,Value,Series
2022,286978.155,Output of the environmental goods and services sector (EGSS)
2010,10279.0,Gross fixed capital formation for environmental protection activities
2011,11415.0,Gross fixed capital formation for environmental protection activities
2012,11701.0,Gross fixed capital formation for environmental protection activities
2013,11331.0,Gross fixed capital formation for environmental protection activities
2015,12117.0,Gross fixed capital formation for environmental protection activities
2016,12824.0,Gross fixed capital formation for environmental protection activities
2017,13263.0,Gross fixed capital formation for environmental protection activities
2018,14747.0,Gross fixed capital formation for environmental protection activities
2019,15577.0,Gross fixed capital formation for environmental protection activities
2021,14210.0,Gross fixed capital formation for environmental protection activities
