Year,Value,Units
2010,202.7,Million EUR
2011,247.8,Million EUR
2012,218.1,Million EUR
2013,312.2,Million EUR
2014,268.4,Million EUR
2015,485.0,Million EUR
2016,518.8,Million EUR
2017,569.7,Million EUR
2018,482.5,Million EUR
2019,536.5,Million EUR
2020,798.4,Million EUR
2021,717.8,Million EUR
2010,292.5,"Million USD, constant prices (2021)"
2011,353.7,"Million USD, constant prices (2021)"
2012,306.8,"Million USD, constant prices (2021)"
2013,430.6,"Million USD, constant prices (2021)"
2014,363.5,"Million USD, constant prices (2021)"
2015,644.8,"Million USD, constant prices (2021)"
2016,680.6,"Million USD, constant prices (2021)"
2017,736.3,"Million USD, constant prices (2021)"
2018,611.3,"Million USD, constant prices (2021)"
2019,665.7,"Million USD, constant prices (2021)"
2020,973.0,"Million USD, constant prices (2021)"
2021,848.8,"Million USD, constant prices (2021)"
