Year,Value,Units
2010,89.1,2015 = 100
2011,91.6,2015 = 100
2012,94.7,2015 = 100
2013,98.3,2015 = 100
2014,99.4,2015 = 100
2015,100.0,2015 = 100
2016,100.8,2015 = 100
2017,103.6,2015 = 100
2018,106.0,2015 = 100
2019,107.2,2015 = 100
2020,109.7,2015 = 100
2021,113.1,2015 = 100
2022,127.6,2015 = 100
2010,,2020 = 100
2011,,2020 = 100
2012,,2020 = 100
2013,,2020 = 100
2014,,2020 = 100
2015,,2020 = 100
2016,,2020 = 100
2017,,2020 = 100
2018,,2020 = 100
2019,,2020 = 100
2020,100.0,2020 = 100
2021,103.1,2020 = 100
2022,116.0,2020 = 100
