Year,Units,Value
2010,Protected marine area  (%),
2011,Protected marine area  (%),45.0
2012,Protected marine area  (%),45.0
2013,Protected marine area  (%),45.0
2014,Protected marine area  (%),45.0
2015,Protected marine area  (%),45.0
2016,Protected marine area  (%),45.0
2017,Protected marine area  (%),45.0
2018,Protected marine area  (%),45.0
2010,Marine Key Biodiversity Areas (KBAs) covered by protected areas (%),
2011,Marine Key Biodiversity Areas (KBAs) covered by protected areas (%),89.0
2012,Marine Key Biodiversity Areas (KBAs) covered by protected areas (%),89.0
2013,Marine Key Biodiversity Areas (KBAs) covered by protected areas (%),89.0
2014,Marine Key Biodiversity Areas (KBAs) covered by protected areas (%),89.0
2015,Marine Key Biodiversity Areas (KBAs) covered by protected areas (%),89.0
2016,Marine Key Biodiversity Areas (KBAs) covered by protected areas (%),89.0
2017,Marine Key Biodiversity Areas (KBAs) covered by protected areas (%),89.0
2018,Marine Key Biodiversity Areas (KBAs) covered by protected areas (%),89.0
