Year,Units,Value
2010,"a) oda (commitments) for biodiversity (mn usd, constant prices (2016))",536.8
2011,"a) oda (commitments) for biodiversity (mn usd, constant prices (2016))",1057.3
2012,"a) oda (commitments) for biodiversity (mn usd, constant prices (2016))",896.1
2013,"a) oda (commitments) for biodiversity (mn usd, constant prices (2016))",877.3
2014,"a) oda (commitments) for biodiversity (mn usd, constant prices (2016))",1058.7
2015,"a) oda (commitments) for biodiversity (mn usd, constant prices (2016))",1177.6
2016,"a) oda (commitments) for biodiversity (mn usd, constant prices (2016))",1111.2
2017,"a) oda (commitments) for biodiversity (mn usd, constant prices (2016))",1744.8
2018,"a) oda (commitments) for biodiversity (mn usd, constant prices (2016))",
2010,b) environmental protection expenditure (mn eur),52116.0
2011,b) environmental protection expenditure (mn eur),54918.0
2012,b) environmental protection expenditure (mn eur),57022.0
2013,b) environmental protection expenditure (mn eur),58937.0
2014,b) environmental protection expenditure (mn eur),63220.0
2015,b) environmental protection expenditure (mn eur),64352.0
2016,b) environmental protection expenditure (mn eur),66222.0
2017,b) environmental protection expenditure (mn eur),
2018,b) environmental protection expenditure (mn eur),
