Year,Units,Value
2010,Households covered by 3G (%),86.6
2011,Households covered by 3G (%),88.5
2012,Households covered by 3G (%),90.4
2013,Households covered by 3G (%),92.2
2014,Households covered by 3G (%),92.5
2015,Households covered by 3G (%),91.9
2016,Households covered by 3G (%),91.4
2017,Households covered by 3G (%),90.6
2018,Households covered by 3G (%),
2010,Households covered by LTE (%),2.1
2011,Households covered by LTE (%),21.5
2012,Households covered by LTE (%),51.7
2013,Households covered by LTE (%),81.0
2014,Households covered by LTE (%),92.1
2015,Households covered by LTE (%),95.7
2016,Households covered by LTE (%),96.2
2017,Households covered by LTE (%),96.2
2018,Households covered by LTE (%),
