Year,Units,country of origin,Value
2010,%,,0.47
2011,%,,0.47
2012,%,,0.5
2013,%,,0.51
2014,%,,0.57
2015,%,,0.67
2016,%,,1.05
2017,%,,1.39
2018,%,,1.55
2019,%,,1.64
2020,%,,1.68
2010,%,afghanistan,0.03
2011,%,afghanistan,0.03
2012,%,afghanistan,0.03
2013,%,afghanistan,0.04
2014,%,afghanistan,0.04
2015,%,afghanistan,0.04
2016,%,afghanistan,0.06
2017,%,afghanistan,0.13
2018,%,afghanistan,0.16
2019,%,afghanistan,0.17
2020,%,afghanistan,0.18
2010,%,iraq,0.05
2011,%,iraq,0.05
2012,%,iraq,0.05
2013,%,iraq,0.05
2014,%,iraq,0.06
2015,%,iraq,0.07
2016,%,iraq,0.1
2017,%,iraq,0.15
2018,%,iraq,0.17
2019,%,iraq,0.17
2020,%,iraq,0.17
2010,%,iran,0.02
2011,%,iran,0.02
2012,%,iran,0.02
2013,%,iran,0.02
2014,%,iran,0.03
2015,%,iran,0.03
2016,%,iran,0.03
2017,%,iran,0.05
2018,%,iran,0.05
2019,%,iran,0.05
2020,%,iran,0.05
2010,%,russian federation,0.04
2011,%,russian federation,0.05
2012,%,russian federation,0.05
2013,%,russian federation,0.04
2014,%,russian federation,0.05
2015,%,russian federation,0.04
2016,%,russian federation,0.04
2017,%,russian federation,0.05
2018,%,russian federation,0.05
2019,%,russian federation,0.05
2020,%,russian federation,0.05
2010,%,syria,0.01
2011,%,syria,0.01
2012,%,syria,0.02
2013,%,syria,0.03
2014,%,syria,0.07
2015,%,syria,0.14
2016,%,syria,0.43
2017,%,syria,0.57
2018,%,syria,0.63
2019,%,syria,0.68
2020,%,syria,0.7
2010,%,turkey,0.05
2011,%,turkey,0.05
2012,%,turkey,0.05
2013,%,turkey,0.05
2014,%,turkey,0.05
2015,%,turkey,0.05
2016,%,turkey,0.05
2017,%,turkey,0.05
2018,%,turkey,0.05
2019,%,turkey,0.05
2020,%,turkey,0.06
2010,number,,382323.0
2011,number,,373874.0
2012,number,,399051.0
2013,number,,410568.0
2014,number,,460139.0
2015,number,,547934.0
2016,number,,867502.0
2017,number,,1154363.0
2018,number,,1283223.0
2019,number,,1360069.0
2020,number,,1397686.0
2010,number,syria,7814.0
2011,number,syria,7819.0
2012,number,syria,15861.0
2013,number,syria,25363.0
2014,number,syria,54756.0
2015,number,syria,117948.0
2016,number,syria,354719.0
2017,number,syria,476027.0
2018,number,syria,525665.0
2019,number,syria,561525.0
2020,number,syria,582644.0
2010,number,afghanistan,24000.0
2011,number,afghanistan,24725.0
2012,number,afghanistan,26592.0
2013,number,afghanistan,29634.0
2014,number,afghanistan,33992.0
2015,number,afghanistan,36877.0
2016,number,afghanistan,51077.0
2017,number,afghanistan,104944.0
2018,number,afghanistan,130547.0
2019,number,afghanistan,143873.0
2020,number,afghanistan,149972.0
2010,number,iraq,42454.0
2011,number,iraq,41668.0
2012,number,iraq,43065.0
2013,number,iraq,44278.0
2014,number,iraq,45945.0
2015,number,iraq,55262.0
2016,number,iraq,83349.0
2017,number,iraq,127275.0
2018,number,iraq,137506.0
2019,number,iraq,140244.0
2020,number,iraq,141464.0
2010,number,iran,14960.0
2011,number,iran,15649.0
2012,number,iran,17224.0
2013,number,iran,18762.0
2014,number,iran,20875.0
2015,number,iran,21855.0
2016,number,iran,24544.0
2017,number,iran,38065.0
2018,number,iran,42597.0
2019,number,iran,44107.0
2020,number,iran,43282.0
2010,number,turkey,44402.0
2011,number,turkey,42507.0
2012,number,turkey,42827.0
2013,number,turkey,41688.0
2014,number,turkey,40523.0
2015,number,turkey,39171.0
2016,number,turkey,38007.0
2017,number,turkey,38589.0
2018,number,turkey,41270.0
2019,number,turkey,45043.0
2020,number,turkey,48825.0
2010,number,russian federation,36189.0
2011,number,russian federation,36556.0
2012,number,russian federation,36633.0
2013,number,russian federation,36334.0
2014,number,russian federation,36599.0
2015,number,russian federation,36682.0
2016,number,russian federation,36561.0
2017,number,russian federation,37365.0
2018,number,russian federation,38466.0
2019,number,russian federation,39300.0
2020,number,russian federation,39344.0
