Year,Units,type of obligation,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Series,Value
2010,"yes=1, no=0",contracting party,,,,(1) basel convention,1.0
2011,"yes=1, no=0",contracting party,,,,(1) basel convention,1.0
2012,"yes=1, no=0",contracting party,,,,(1) basel convention,1.0
2013,"yes=1, no=0",contracting party,,,,(1) basel convention,1.0
2014,"yes=1, no=0",contracting party,,,,(1) basel convention,1.0
2015,"yes=1, no=0",contracting party,,,,(1) basel convention,1.0
2016,"yes=1, no=0",contracting party,,,,(1) basel convention,1.0
2017,"yes=1, no=0",contracting party,,,,(1) basel convention,1.0
2018,"yes=1, no=0",contracting party,,,,(1) basel convention,1.0
2019,"yes=1, no=0",contracting party,,,,(1) basel convention,1.0
2020,"yes=1, no=0",contracting party,,,,(1) basel convention,1.0
2021,"yes=1, no=0",contracting party,,,,(1) basel convention,1.0
2022,"yes=1, no=0",contracting party,,,,(1) basel convention,1.0
2023,"yes=1, no=0",contracting party,,,,(1) basel convention,1.0
2024,"yes=1, no=0",contracting party,,,,(1) basel convention,1.0
2025,"yes=1, no=0",contracting party,,,,(1) basel convention,1.0
2026,"yes=1, no=0",contracting party,,,,(1) basel convention,1.0
2010,"yes=1, no=0",fulfilment of reporting obligation,,,,(1) basel convention,1.0
2011,"yes=1, no=0",fulfilment of reporting obligation,,,,(1) basel convention,1.0
2012,"yes=1, no=0",fulfilment of reporting obligation,,,,(1) basel convention,1.0
2013,"yes=1, no=0",fulfilment of reporting obligation,,,,(1) basel convention,1.0
2014,"yes=1, no=0",fulfilment of reporting obligation,,,,(1) basel convention,1.0
2015,"yes=1, no=0",fulfilment of reporting obligation,,,,(1) basel convention,1.0
2016,"yes=1, no=0",fulfilment of reporting obligation,,,,(1) basel convention,1.0
2017,"yes=1, no=0",fulfilment of reporting obligation,,,,(1) basel convention,1.0
2018,"yes=1, no=0",fulfilment of reporting obligation,,,,(1) basel convention,1.0
2019,"yes=1, no=0",fulfilment of reporting obligation,,,,(1) basel convention,1.0
2020,"yes=1, no=0",fulfilment of reporting obligation,,,,(1) basel convention,1.0
2021,"yes=1, no=0",fulfilment of reporting obligation,,,,(1) basel convention,1.0
2022,"yes=1, no=0",fulfilment of reporting obligation,,,,(1) basel convention,1.0
2023,"yes=1, no=0",fulfilment of reporting obligation,,,,(1) basel convention,1.0
2024,"yes=1, no=0",fulfilment of reporting obligation,,,,(1) basel convention,1.0
2015,percentage,compliance with the agreement,,,,(1) basel convention,100.0
2020,percentage,compliance with the agreement,,,,(1) basel convention,100.0
2025,percentage,compliance with the agreement,,,,(1) basel convention,100.0
2010,"yes=1, no=0",contracting party,,,,(2) montreal protocol,1.0
2011,"yes=1, no=0",contracting party,,,,(2) montreal protocol,1.0
2012,"yes=1, no=0",contracting party,,,,(2) montreal protocol,1.0
2013,"yes=1, no=0",contracting party,,,,(2) montreal protocol,1.0
2014,"yes=1, no=0",contracting party,,,,(2) montreal protocol,1.0
2015,"yes=1, no=0",contracting party,,,,(2) montreal protocol,1.0
2016,"yes=1, no=0",contracting party,,,,(2) montreal protocol,1.0
2017,"yes=1, no=0",contracting party,,,,(2) montreal protocol,1.0
2018,"yes=1, no=0",contracting party,,,,(2) montreal protocol,1.0
2019,"yes=1, no=0",contracting party,,,,(2) montreal protocol,1.0
2020,"yes=1, no=0",contracting party,,,,(2) montreal protocol,1.0
2021,"yes=1, no=0",contracting party,,,,(2) montreal protocol,1.0
2022,"yes=1, no=0",contracting party,,,,(2) montreal protocol,1.0
2023,"yes=1, no=0",contracting party,,,,(2) montreal protocol,1.0
2024,"yes=1, no=0",contracting party,,,,(2) montreal protocol,1.0
2025,"yes=1, no=0",contracting party,,,,(2) montreal protocol,1.0
2026,"yes=1, no=0",contracting party,,,,(2) montreal protocol,1.0
2010,"yes=1, no=0",fulfilment of reporting obligation,,,,(2) montreal protocol,1.0
2011,"yes=1, no=0",fulfilment of reporting obligation,,,,(2) montreal protocol,1.0
2012,"yes=1, no=0",fulfilment of reporting obligation,,,,(2) montreal protocol,1.0
2013,"yes=1, no=0",fulfilment of reporting obligation,,,,(2) montreal protocol,1.0
2014,"yes=1, no=0",fulfilment of reporting obligation,,,,(2) montreal protocol,1.0
2015,"yes=1, no=0",fulfilment of reporting obligation,,,,(2) montreal protocol,1.0
2016,"yes=1, no=0",fulfilment of reporting obligation,,,,(2) montreal protocol,1.0
2017,"yes=1, no=0",fulfilment of reporting obligation,,,,(2) montreal protocol,1.0
2018,"yes=1, no=0",fulfilment of reporting obligation,,,,(2) montreal protocol,1.0
2019,"yes=1, no=0",fulfilment of reporting obligation,,,,(2) montreal protocol,1.0
2020,"yes=1, no=0",fulfilment of reporting obligation,,,,(2) montreal protocol,1.0
2021,"yes=1, no=0",fulfilment of reporting obligation,,,,(2) montreal protocol,1.0
2022,"yes=1, no=0",fulfilment of reporting obligation,,,,(2) montreal protocol,1.0
2023,"yes=1, no=0",fulfilment of reporting obligation,,,,(2) montreal protocol,1.0
2024,"yes=1, no=0",fulfilment of reporting obligation,,,,(2) montreal protocol,1.0
2015,percentage,compliance with the agreement,,,,(2) montreal protocol,100.0
2020,percentage,compliance with the agreement,,,,(2) montreal protocol,100.0
2025,percentage,compliance with the agreement,,,,(2) montreal protocol,100.0
2010,"yes=1, no=0",contracting party,,,,(3) rotterdam convention,1.0
2011,"yes=1, no=0",contracting party,,,,(3) rotterdam convention,1.0
2012,"yes=1, no=0",contracting party,,,,(3) rotterdam convention,1.0
2013,"yes=1, no=0",contracting party,,,,(3) rotterdam convention,1.0
2014,"yes=1, no=0",contracting party,,,,(3) rotterdam convention,1.0
2015,"yes=1, no=0",contracting party,,,,(3) rotterdam convention,1.0
2016,"yes=1, no=0",contracting party,.,,,(3) rotterdam convention,1.0
2017,"yes=1, no=0",contracting party,,,,(3) rotterdam convention,1.0
2018,"yes=1, no=0",contracting party,,,,(3) rotterdam convention,1.0
2019,"yes=1, no=0",contracting party,,,,(3) rotterdam convention,1.0
2020,"yes=1, no=0",contracting party,,,,(3) rotterdam convention,1.0
2021,"yes=1, no=0",contracting party,,,,(3) rotterdam convention,1.0
2022,"yes=1, no=0",contracting party,,,,(3) rotterdam convention,1.0
2023,"yes=1, no=0",contracting party,,,,(3) rotterdam convention,1.0
2024,"yes=1, no=0",contracting party,,,,(3) rotterdam convention,1.0
2025,"yes=1, no=0",contracting party,,,,(3) rotterdam convention,1.0
2026,"yes=1, no=0",contracting party,,,,(3) rotterdam convention,1.0
2010,"yes=1, no=0",fulfilment of reporting obligation,,,,(3) rotterdam convention,1.0
2011,"yes=1, no=0",fulfilment of reporting obligation,,,,(3) rotterdam convention,1.0
2012,"yes=1, no=0",fulfilment of reporting obligation,,,,(3) rotterdam convention,1.0
2013,"yes=1, no=0",fulfilment of reporting obligation,,,,(3) rotterdam convention,1.0
2014,"yes=1, no=0",fulfilment of reporting obligation,,,,(3) rotterdam convention,1.0
2015,"yes=1, no=0",fulfilment of reporting obligation,,,,(3) rotterdam convention,1.0
2016,"yes=1, no=0",fulfilment of reporting obligation,,,,(3) rotterdam convention,1.0
2017,"yes=1, no=0",fulfilment of reporting obligation,,,,(3) rotterdam convention,1.0
2018,"yes=1, no=0",fulfilment of reporting obligation,,,,(3) rotterdam convention,1.0
2019,"yes=1, no=0",fulfilment of reporting obligation,,,,(3) rotterdam convention,1.0
2020,"yes=1, no=0",fulfilment of reporting obligation,,,,(3) rotterdam convention,1.0
2021,"yes=1, no=0",fulfilment of reporting obligation,,,,(3) rotterdam convention,1.0
2022,"yes=1, no=0",fulfilment of reporting obligation,,,,(3) rotterdam convention,1.0
2023,"yes=1, no=0",fulfilment of reporting obligation,,,,(3) rotterdam convention,1.0
2024,"yes=1, no=0",fulfilment of reporting obligation,,,,(3) rotterdam convention,1.0
2015,percentage,compliance with the agreement,,,,(3) rotterdam convention,100.0
2020,percentage,compliance with the agreement,,,,(3) rotterdam convention,100.0
2025,percentage,compliance with the agreement,,,,(3) rotterdam convention,100.0
2010,"yes=1, no=0",contracting party,,,,(4) stockholm convention,1.0
2011,"yes=1, no=0",contracting party,,,,(4) stockholm convention,1.0
2012,"yes=1, no=0",contracting party,,,,(4) stockholm convention,1.0
2013,"yes=1, no=0",contracting party,,,,(4) stockholm convention,1.0
2014,"yes=1, no=0",contracting party,,,,(4) stockholm convention,1.0
