Year,Units,timeseries,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,million eur,oda (commitments) for biodiversity,,,,440.9
2011,million eur,oda (commitments) for biodiversity,,,,877.7
2012,million eur,oda (commitments) for biodiversity,,,,755.3
2013,million eur,oda (commitments) for biodiversity,,,,754.0
2014,million eur,oda (commitments) for biodiversity,,,,926.2
2015,million eur,oda (commitments) for biodiversity,,,,1050.8
2016,million eur,oda (commitments) for biodiversity,,,,1004.9
2017,million eur,oda (commitments) for biodiversity,,,,1602.2
2018,million eur,oda (commitments) for biodiversity,,,,1350.6
2019,million eur,oda (commitments) for biodiversity,,,,1990.5
2020,million eur,oda (commitments) for biodiversity,,,,2084.9
2021,million eur,oda (commitments) for biodiversity,,,,2107.5
2022,million eur,oda (commitments) for biodiversity,,,,2850.2
2023,million eur,oda (commitments) for biodiversity,,,,2161.0
2010,million eur,oda (gross disbursements) for biodiversity,,,,318.6
2011,million eur,oda (gross disbursements) for biodiversity,,,,440.7
2012,million eur,oda (gross disbursements) for biodiversity,,,,601.6
2013,million eur,oda (gross disbursements) for biodiversity,,,,616.5
2014,million eur,oda (gross disbursements) for biodiversity,,,,702.4
2015,million eur,oda (gross disbursements) for biodiversity,,,,687.2
2016,million eur,oda (gross disbursements) for biodiversity,,,,935.1
2017,million eur,oda (gross disbursements) for biodiversity,,,,1321.5
2018,million eur,oda (gross disbursements) for biodiversity,,,,1216.5
2019,million eur,oda (gross disbursements) for biodiversity,,,,1449.9
2020,million eur,oda (gross disbursements) for biodiversity,,,,1787.8
2021,million eur,oda (gross disbursements) for biodiversity,,,,2107.5
2022,million eur,oda (gross disbursements) for biodiversity,,,,2850.2
2023,million eur,oda (gross disbursements) for biodiversity,…,,,
2010,million eur,environmental protection expenditure,,,,52116.0
2011,million eur,environmental protection expenditure,,,,54918.0
2012,million eur,environmental protection expenditure,,,,57022.0
2013,million eur,environmental protection expenditure,,,,58937.0
2014,million eur,environmental protection expenditure,,,,63026.0
2015,million eur,environmental protection expenditure,,,,64748.0
2016,million eur,environmental protection expenditure,,,,67478.0
2017,million eur,environmental protection expenditure,,,,70053.0
2018,million eur,environmental protection expenditure,,,,74164.0
2019,million eur,environmental protection expenditure,,,,77773.0
2020,million eur,environmental protection expenditure,,,,79884.0
2021,million eur,environmental protection expenditure,,,,80334.0
2022,million eur,environmental protection expenditure,p,,,82268.0
2023,million eur,environmental protection expenditure,…,,,
2010,"million usd, constant prices (2023)",oda (commitments) for biodiversity,,,,650.7
2011,"million usd, constant prices (2023)",oda (commitments) for biodiversity,,,,1279.7
2012,"million usd, constant prices (2023)",oda (commitments) for biodiversity,,,,1085.6
2013,"million usd, constant prices (2023)",oda (commitments) for biodiversity,,,,1062.5
2014,"million usd, constant prices (2023)",oda (commitments) for biodiversity,,,,1280.9
2015,"million usd, constant prices (2023)",oda (commitments) for biodiversity,,,,1429.3
2016,"million usd, constant prices (2023)",oda (commitments) for biodiversity,,,,1349.8
2017,"million usd, constant prices (2023)",oda (commitments) for biodiversity,,,,2120.8
2018,"million usd, constant prices (2023)",oda (commitments) for biodiversity,,,,1755.1
2019,"million usd, constant prices (2023)",oda (commitments) for biodiversity,,,,2535.6
2020,"million usd, constant prices (2023)",oda (commitments) for biodiversity,,,,2610.0
2021,"million usd, constant prices (2023)",oda (commitments) for biodiversity,,,,2566.4
2022,"million usd, constant prices (2023)",oda (commitments) for biodiversity,,,,3271.2
2023,"million usd, constant prices (2023)",oda (commitments) for biodiversity,,,,2336.7
2010,"million usd, constant prices (2022)",oda (gross disbursements) for biodiversity,,,,430.5
2011,"million usd, constant prices (2022)",oda (gross disbursements) for biodiversity,,,,589.1
2012,"million usd, constant prices (2022)",oda (gross disbursements) for biodiversity,,,,792.4
2013,"million usd, constant prices (2022)",oda (gross disbursements) for biodiversity,,,,796.3
2014,"million usd, constant prices (2022)",oda (gross disbursements) for biodiversity,,,,890.8
2015,"million usd, constant prices (2022)",oda (gross disbursements) for biodiversity,,,,855.6
2016,"million usd, constant prices (2022)",oda (gross disbursements) for biodiversity,,,,1148.9
2017,"million usd, constant prices (2022)",oda (gross disbursements) for biodiversity,,,,1599.6
2018,"million usd, constant prices (2022)",oda (gross disbursements) for biodiversity,,,,1443.6
2019,"million usd, constant prices (2022)",oda (gross disbursements) for biodiversity,,,,1684.6
2020,"million usd, constant prices (2022)",oda (gross disbursements) for biodiversity,,,,2038.9
2021,"million usd, constant prices (2022)",oda (gross disbursements) for biodiversity,,,,2333.3
2022,"million usd, constant prices (2022)",oda (gross disbursements) for biodiversity,,,,2997.3
2023,"million usd, constant prices (2022)",oda (gross disbursements) for biodiversity,…,,,
