Year,Series,Value
2010,documents issued for the import and export of protected species,22601.0
2011,documents issued for the import and export of protected species,20687.0
2012,documents issued for the import and export of protected species,21045.0
2013,documents issued for the import and export of protected species,21364.0
2014,documents issued for the import and export of protected species,23170.0
2015,documents issued for the import and export of protected species,23093.0
2016,documents issued for the import and export of protected species,24248.0
2017,documents issued for the import and export of protected species,29644.0
2018,documents issued for the import and export of protected species,31738.0
2019,documents issued for the import and export of protected species,30397.0
2020,documents issued for the import and export of protected species,19710.0
2021,documents issued for the import and export of protected species,
2010,seizures by authorities concerning the protection of species,1365.0
2011,seizures by authorities concerning the protection of species,1208.0
2012,seizures by authorities concerning the protection of species,1112.0
2013,seizures by authorities concerning the protection of species,1105.0
2014,seizures by authorities concerning the protection of species,852.0
2015,seizures by authorities concerning the protection of species,1301.0
2016,seizures by authorities concerning the protection of species,915.0
2017,seizures by authorities concerning the protection of species,934.0
2018,seizures by authorities concerning the protection of species,1294.0
2019,seizures by authorities concerning the protection of species,1444.0
2020,seizures by authorities concerning the protection of species,1240.0
2021,seizures by authorities concerning the protection of species,1130.0
