Year,timeseries,sex,Value
2003-2006,overweight among children under the age of 5 years (%),,4.1
2014-2017,overweight among children under the age of 5 years (%),,3.2
2003-2006,overweight among children under the age of 5 years (%),male,3.3
2014-2017,overweight among children under the age of 5 years (%),male,0.7
2003-2006,overweight among children under the age of 5 years (%),female,4.9
2014-2017,overweight among children under the age of 5 years (%),female,5.9
2003-2006,wasting among children under the age of 5 years (%),,1.4
2014-2017,wasting among children under the age of 5 years (%),,0.3
2003-2006,wasting among children under the age of 5 years (%),male,1.3
2014-2017,wasting among children under the age of 5 years (%),male,0.7
2003-2006,wasting among children under the age of 5 years (%),female,1.4
