Year,Units,timeseries,level of risk of extinction,Value
2010,%,level of risk of extinction (according to fao classification),b) at risk,
2011,%,level of risk of extinction (according to fao classification),b) at risk,
2012,%,level of risk of extinction (according to fao classification),b) at risk,
2013,%,level of risk of extinction (according to fao classification),b) at risk,
2014,%,level of risk of extinction (according to fao classification),b) at risk,
2015,%,level of risk of extinction (according to fao classification),b) at risk,45.45
2016,%,level of risk of extinction (according to fao classification),b) at risk,
2017,%,level of risk of extinction (according to fao classification),b) at risk,
2018,%,level of risk of extinction (according to fao classification),b) at risk,
2019,%,level of risk of extinction (according to fao classification),b) at risk,
2010,%,level of risk of extinction (according to fao classification),a) not at risk,
2011,%,level of risk of extinction (according to fao classification),a) not at risk,
2012,%,level of risk of extinction (according to fao classification),a) not at risk,
2013,%,level of risk of extinction (according to fao classification),a) not at risk,
2014,%,level of risk of extinction (according to fao classification),a) not at risk,
2015,%,level of risk of extinction (according to fao classification),a) not at risk,54.55
2016,%,level of risk of extinction (according to fao classification),a) not at risk,
2017,%,level of risk of extinction (according to fao classification),a) not at risk,
2018,%,level of risk of extinction (according to fao classification),a) not at risk,
2019,%,level of risk of extinction (according to fao classification),a) not at risk,
2010,number,"local livestock breeds (horses, cows, pigs, sheep and goats)",,
2011,number,"local livestock breeds (horses, cows, pigs, sheep and goats)",,74.0
2012,number,"local livestock breeds (horses, cows, pigs, sheep and goats)",,
2013,number,"local livestock breeds (horses, cows, pigs, sheep and goats)",,75.0
2014,number,"local livestock breeds (horses, cows, pigs, sheep and goats)",,
2015,number,"local livestock breeds (horses, cows, pigs, sheep and goats)",,77.0
2016,number,"local livestock breeds (horses, cows, pigs, sheep and goats)",,
2017,number,"local livestock breeds (horses, cows, pigs, sheep and goats)",,77.0
2018,number,"local livestock breeds (horses, cows, pigs, sheep and goats)",,
2019,number,"local livestock breeds (horses, cows, pigs, sheep and goats)",,80.0
2010,%,level of risk of extinction (according to national classification),a) not at risk,
2011,%,level of risk of extinction (according to national classification),a) not at risk,29.7
2012,%,level of risk of extinction (according to national classification),a) not at risk,
2013,%,level of risk of extinction (according to national classification),a) not at risk,30.7
2014,%,level of risk of extinction (according to national classification),a) not at risk,
2015,%,level of risk of extinction (according to national classification),a) not at risk,28.6
2016,%,level of risk of extinction (according to national classification),a) not at risk,
2017,%,level of risk of extinction (according to national classification),a) not at risk,29.9
2018,%,level of risk of extinction (according to national classification),a) not at risk,
2019,%,level of risk of extinction (according to national classification),a) not at risk,30.0
2010,%,level of risk of extinction (according to national classification),b) under observation,
2011,%,level of risk of extinction (according to national classification),b) under observation,39.2
2012,%,level of risk of extinction (according to national classification),b) under observation,
2013,%,level of risk of extinction (according to national classification),b) under observation,42.7
2014,%,level of risk of extinction (according to national classification),b) under observation,
2015,%,level of risk of extinction (according to national classification),b) under observation,46.8
2016,%,level of risk of extinction (according to national classification),b) under observation,
2017,%,level of risk of extinction (according to national classification),b) under observation,46.8
2018,%,level of risk of extinction (according to national classification),b) under observation,
2019,%,level of risk of extinction (according to national classification),b) under observation,45.0
2010,%,level of risk of extinction (according to national classification),c) breeding programs for preservation,
2011,%,level of risk of extinction (according to national classification),c) breeding programs for preservation,24.3
2012,%,level of risk of extinction (according to national classification),c) breeding programs for preservation,
2013,%,level of risk of extinction (according to national classification),c) breeding programs for preservation,20.0
2014,%,level of risk of extinction (according to national classification),c) breeding programs for preservation,
2015,%,level of risk of extinction (according to national classification),c) breeding programs for preservation,18.2
2016,%,level of risk of extinction (according to national classification),c) breeding programs for preservation,
2017,%,level of risk of extinction (according to national classification),c) breeding programs for preservation,16.9
2018,%,level of risk of extinction (according to national classification),c) breeding programs for preservation,
2019,%,level of risk of extinction (according to national classification),c) breeding programs for preservation,17.5
2010,%,level of risk of extinction (according to national classification),d) rudiments remaining,
2011,%,level of risk of extinction (according to national classification),d) rudiments remaining,6.8
2012,%,level of risk of extinction (according to national classification),d) rudiments remaining,
2013,%,level of risk of extinction (according to national classification),d) rudiments remaining,6.7
2014,%,level of risk of extinction (according to national classification),d) rudiments remaining,
2015,%,level of risk of extinction (according to national classification),d) rudiments remaining,6.5
2016,%,level of risk of extinction (according to national classification),d) rudiments remaining,
2017,%,level of risk of extinction (according to national classification),d) rudiments remaining,6.5
2018,%,level of risk of extinction (according to national classification),d) rudiments remaining,
2019,%,level of risk of extinction (according to national classification),d) rudiments remaining,7.5
