Year,Units,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,million eur,,,,202.7
2011,million eur,,,,247.8
2012,million eur,,,,218.1
2013,million eur,,,,312.2
2014,million eur,,,,268.4
2015,million eur,,,,485.0
2016,million eur,,,,518.8
2017,million eur,,,,569.7
2018,million eur,,,,482.5
2019,million eur,,,,536.5
2020,million eur,,,,798.4
2021,million eur,,,,717.8
2022,million eur,,,,1284.6
2023,million eur,,,,661.7
2024,million eur,,,,567.1
2010,"million usd, constant prices (2024)",,,,310.9
2011,"million usd, constant prices (2024)",,,,375.5
2012,"million usd, constant prices (2024)",,,,325.9
2013,"million usd, constant prices (2024)",,,,457.2
2014,"million usd, constant prices (2024)",,,,385.9
2015,"million usd, constant prices (2024)",,,,685.3
2016,"million usd, constant prices (2024)",,,,723.8
2017,"million usd, constant prices (2024)",,,,783.3
2018,"million usd, constant prices (2024)",,,,651.2
2019,"million usd, constant prices (2024)",,,,709.9
2020,"million usd, constant prices (2024)",,,,1038.2
2021,"million usd, constant prices (2024)",,,,908.9
2022,"million usd, constant prices (2024)",,,,1528.5
2023,"million usd, constant prices (2024)",,,,738.0
2024,"million usd, constant prices (2024)",,,,613.3
