Year,age group,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,11 months and younger,,,,3.4
2011,11 months and younger,,,,3.6
2012,11 months and younger,,,,3.3
2013,11 months and younger,,,,3.3
2014,11 months and younger,,,,3.2
2015,11 months and younger,,,,3.3
2016,11 months and younger,,,,3.4
2017,11 months and younger,,,,3.3
2018,11 months and younger,,,,3.2
2019,11 months and younger,,,,3.2
2020,11 months and younger,,,,3.1
2021,11 months and younger,,,,3.0
2022,11 months and younger,,,,3.2
2023,11 months and younger,,,,3.2
2024,11 months and younger,,,,3.3
2010,4 years and younger,,,,4.1
2011,4 years and younger,,,,4.3
2012,4 years and younger,,,,3.9
2013,4 years and younger,,,,3.9
2014,4 years and younger,,,,3.8
2015,4 years and younger,,,,3.9
2016,4 years and younger,,,,4.0
2017,4 years and younger,,,,3.8
2018,4 years and younger,,,,3.7
2019,4 years and younger,,,,3.8
2020,4 years and younger,,,,3.6
2021,4 years and younger,,,,3.5
2022,4 years and younger,,,,3.8
2023,4 years and younger,,,,3.9
2024,4 years and younger,,,,4.0
