Year,sex,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,,s,,,0.03
2011,,s,,,0.03
2012,,s,,,0.03
2013,,s,,,0.03
2014,,s,,,0.03
2015,,s,,,0.03
2016,,s,,,0.03
2017,,s,,,0.03
2018,,s,,,0.03
2019,,s,,,0.03
2020,,s,,,0.02
2021,,s,,,0.02
2022,,s,,,0.02
2023,,s,,,0.03
2010,female,s,,,0.01
2011,female,s,,,0.01
2012,female,s,,,0.01
2013,female,s,,,0.01
2014,female,s,,,0.01
2015,female,s,,,0.01
2016,female,s,,,0.01
2017,female,s,,,0.01
2018,female,s,,,0.01
2019,female,s,,,0.01
2020,female,s,,,0.01
2021,female,s,,,0.01
2022,female,.,,,
2023,female,s,,,0.01
2010,male,s,,,0.06
2011,male,s,,,0.06
2012,male,s,,,0.06
2013,male,s,,,0.06
2014,male,s,,,0.06
2015,male,s,,,0.05
2016,male,s,,,0.05
2017,male,s,,,0.05
2018,male,s,,,0.05
2019,male,s,,,0.05
2020,male,s,,,0.04
2021,male,s,,,0.03
2022,male,.,,,
2023,male,s,,,0.04
