Year,type of disease,sex,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,,,,,,12.74
2011,,,,,,12.41
2012,,,,,,12.17
2013,,,,,,12.19
2014,,,,,,11.72
2015,,,,,,11.93
2016,,,,,,11.73
2017,,,,,,11.43
2018,,,,,,11.43
2019,,,,,,11.02
2020,,,,,,10.94
2021,,,,,,10.85
2022,,,,,,10.89
2023,,,,,,10.72
2024,,,,,,10.5
2010,(a) diseases of the circulatory system,,,,,4.49
2011,(a) diseases of the circulatory system,,,,,4.19
2012,(a) diseases of the circulatory system,,,,,4.15
2013,(a) diseases of the circulatory system,,,,,4.13
2014,(a) diseases of the circulatory system,,,,,3.96
2015,(a) diseases of the circulatory system,,,,,4.08
2016,(a) diseases of the circulatory system,,,,,3.91
2017,(a) diseases of the circulatory system,,,,,3.78
2018,(a) diseases of the circulatory system,,,,,3.8
2019,(a) diseases of the circulatory system,,,,,3.59
2020,(a) diseases of the circulatory system,,,,,3.63
2021,(a) diseases of the circulatory system,,,,,3.71
2022,(a) diseases of the circulatory system,,,,,3.69
2023,(a) diseases of the circulatory system,,,,,3.63
2024,(a) diseases of the circulatory system,,,,,3.5
2010,(b) malignant neoplasms,,,,,7.6
2011,(b) malignant neoplasms,,,,,7.53
2012,(b) malignant neoplasms,,,,,7.35
2013,(b) malignant neoplasms,,,,,7.3
2014,(b) malignant neoplasms,,,,,7.04
2015,(b) malignant neoplasms,,,,,7.04
2016,(b) malignant neoplasms,,,,,7.02
2017,(b) malignant neoplasms,,,,,6.78
2018,(b) malignant neoplasms,,,,,6.75
2019,(b) malignant neoplasms,,,,,6.57
2020,(b) malignant neoplasms,,,,,6.47
2021,(b) malignant neoplasms,,,,,6.31
2022,(b) malignant neoplasms,,,,,6.28
2023,(b) malignant neoplasms,,,,,6.13
2024,(b) malignant neoplasms,,,,,6.01
2010,(c) diabetes mellitus,,,,,0.35
2011,(c) diabetes mellitus,,,,,0.35
2012,(c) diabetes mellitus,,,,,0.35
2013,(c) diabetes mellitus,,,,,0.36
2014,(c) diabetes mellitus,,,,,0.33
2015,(c) diabetes mellitus,,,,,0.35
2016,(c) diabetes mellitus,,,,,0.34
2017,(c) diabetes mellitus,,,,,0.36
2018,(c) diabetes mellitus,,,,,0.35
2019,(c) diabetes mellitus,,,,,0.34
2020,(c) diabetes mellitus,,,,,0.35
2021,(c) diabetes mellitus,,,,,0.35
2022,(c) diabetes mellitus,,,,,0.35
2023,(c) diabetes mellitus,,,,,0.34
2024,(c) diabetes mellitus,,,,,0.35
2010,(d) chronic respiratory disease,,,,,0.78
2011,(d) chronic respiratory disease,,,,,0.79
2012,(d) chronic respiratory disease,,,,,0.75
2013,(d) chronic respiratory disease,,,,,0.84
2014,(d) chronic respiratory disease,,,,,0.79
2015,(d) chronic respiratory disease,,,,,0.88
2016,(d) chronic respiratory disease,,,,,0.86
2017,(d) chronic respiratory disease,,,,,0.9
2018,(d) chronic respiratory disease,,,,,0.92
2019,(d) chronic respiratory disease,,,,,0.9
2020,(d) chronic respiratory disease,,,,,0.85
2021,(d) chronic respiratory disease,,,,,0.83
2022,(d) chronic respiratory disease,,,,,0.93
2023,(d) chronic respiratory disease,,,,,0.96
2024,(d) chronic respiratory disease,,,,,0.97
2010,,female,,,,9.19
2011,,female,,,,9.19
2012,,female,,,,8.94
2013,,female,,,,9.03
2014,,female,,,,8.73
2015,,female,,,,8.86
2016,,female,,,,8.79
2017,,female,,,,8.63
2018,,female,,,,8.67
2019,,female,,,,8.38
2020,,female,,,,8.22
2021,,female,,,,8.15
2022,,female,,,,8.31
2023,,female,,,,8.22
2024,,female,,,,8.0
2010,(a) diseases of the circulatory system,female,,,,2.39
2011,(a) diseases of the circulatory system,female,,,,2.32
2012,(a) diseases of the circulatory system,female,,,,2.26
2013,(a) diseases of the circulatory system,female,,,,2.3
2014,(a) diseases of the circulatory system,female,,,,2.23
2015,(a) diseases of the circulatory system,female,,,,2.26
2016,(a) diseases of the circulatory system,female,,,,2.16
2017,(a) diseases of the circulatory system,female,,,,2.05
2018,(a) diseases of the circulatory system,female,,,,2.11
2019,(a) diseases of the circulatory system,female,,,,1.96
2020,(a) diseases of the circulatory system,female,,,,1.95
2021,(a) diseases of the circulatory system,female,,,,2.02
2022,(a) diseases of the circulatory system,female,,,,2.04
2023,(a) diseases of the circulatory system,female,,,,2.02
2024,(a) diseases of the circulatory system,female,,,,1.93
2010,(b) malignant neoplasms,female,,,,6.25
2011,(b) malignant neoplasms,female,,,,6.3
2012,(b) malignant neoplasms,female,,,,6.13
2013,(b) malignant neoplasms,female,,,,6.1
2014,(b) malignant neoplasms,female,,,,5.92
2015,(b) malignant neoplasms,female,,,,5.94
2016,(b) malignant neoplasms,female,,,,5.97
2017,(b) malignant neoplasms,female,,,,5.85
2018,(b) malignant neoplasms,female,,,,5.82
2019,(b) malignant neoplasms,female,,,,5.69
2020,(b) malignant neoplasms,female,,,,5.57
2021,(b) malignant neoplasms,female,,,,5.46
2022,(b) malignant neoplasms,female,,,,5.52
2023,(b) malignant neoplasms,female,,,,5.41
2024,(b) malignant neoplasms,female,,,,5.29
2010,(c) diabetes mellitus,female,,,,0.2
2011,(c) diabetes mellitus,female,,,,0.21
2012,(c) diabetes mellitus,female,,,,0.21
2013,(c) diabetes mellitus,female,,,,0.2
