Year,sex,age group,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,,,r,,,12.3
2011,,,,,,12.6
2012,,,,,,12.3
2013,,,,,,12.5
2014,,,r,,,12.7
2015,,,r,,,12.4
2016,,,,,,12.0
2017,,,r,,,11.3
2018,,,r,,,11.5
2019,,,r,,,11.0
2020,,,r,,,11.2
2021,,,r,,,11.3
2022,,,,,,12.3
2023,,,,,,12.4
2024,,,r,,,12.4
2010,female,,,,,6.1
2011,female,,,,,6.1
2012,female,,,,,6.3
2013,female,,,,,6.4
2014,female,,,,,6.3
2015,female,,,,,6.5
2016,female,,,,,5.9
2017,female,,,,,5.4
2018,female,,,,,5.5
2019,female,,,,,5.3
2020,female,,,,,5.4
2021,female,,,,,5.8
2022,female,,,,,6.3
2023,female,,,,,6.7
2024,female,,,,,7.0
2010,male,,,,,18.6
2011,male,,,,,19.5
2012,male,,,,,18.5
2013,male,,,,,18.9
2014,male,,,,,19.3
2015,male,,,,,18.5
2016,male,,,,,18.3
2017,male,,,,,17.3
2018,male,,,,,17.6
2019,male,,,,,16.9
2020,male,,,,,17.2
2021,male,,,,,16.9
2022,male,,,,,18.5
2023,male,,,,,18.3
2024,male,,,,,18.0
2010,,14 years and younger,,,,0.3
2011,,14 years and younger,,,,0.2
2012,,14 years and younger,,,,0.2
2013,,14 years and younger,,,,0.2
2014,,14 years and younger,,,,0.3
2015,,14 years and younger,,,,0.2
2016,,14 years and younger,,,,0.2
2017,,14 years and younger,,,,0.3
2018,,14 years and younger,,,,0.1
2019,,14 years and younger,,,,0.2
2020,,14 years and younger,,,,0.2
2021,,14 years and younger,,,,0.2
2022,,14 years and younger,,,,0.2
2023,,14 years and younger,,,,0.2
2024,,14 years and younger,,,,0.2
2010,,15 to under 25 years,,,,6.6
2011,,15 to under 25 years,,,,6.5
2012,,15 to under 25 years,,,,6.4
2013,,15 to under 25 years,,,,5.8
2014,,15 to under 25 years,,,,6.0
2015,,15 to under 25 years,,,,5.9
2016,,15 to under 25 years,,,,6.2
2017,,15 to under 25 years,,,,5.7
2018,,15 to under 25 years,,,,6.1
2019,,15 to under 25 years,,,,5.4
2020,,15 to under 25 years,,,,5.8
2021,,15 to under 25 years,,,,5.7
2022,,15 to under 25 years,,,,5.6
2023,,15 to under 25 years,,,,5.6
2024,,15 to under 25 years,,,,5.6
2010,,25 to under 35 years,,,,9.4
2011,,25 to under 35 years,,,,9.1
2012,,25 to under 35 years,,,,9.1
2013,,25 to under 35 years,,,,9.3
2014,,25 to under 35 years,,,,9.2
2015,,25 to under 35 years,,,,8.8
2016,,25 to under 35 years,,,,8.6
2017,,25 to under 35 years,,,,7.6
2018,,25 to under 35 years,,,,7.7
2019,,25 to under 35 years,,,,7.5
2020,,25 to under 35 years,,,,7.7
2021,,25 to under 35 years,,,,7.0
2022,,25 to under 35 years,,,,7.3
2023,,25 to under 35 years,,,,6.5
2024,,25 to under 35 years,,,,7.2
2010,,35 to under 45 years,,,,11.5
2011,,35 to under 45 years,,,,11.3
2012,,35 to under 45 years,,,,11.2
2013,,35 to under 45 years,,,,11.1
2014,,35 to under 45 years,,,,10.9
2015,,35 to under 45 years,,,,11.0
2016,,35 to under 45 years,,,,9.8
2017,,35 to under 45 years,,,,9.2
2018,,35 to under 45 years,,,,9.1
2019,,35 to under 45 years,,,,9.2
2020,,35 to under 45 years,,,,9.7
2021,,35 to under 45 years,,,,8.7
