Year,type of disease,Value
2010,a) diarrhoea,3.6
2011,a) diarrhoea,5.7
2012,a) diarrhoea,6.9
2013,a) diarrhoea,7.1
2014,a) diarrhoea,6.3
2015,a) diarrhoea,7.0
2016,a) diarrhoea,5.7
2017,a) diarrhoea,5.4
2018,a) diarrhoea,5.1
2019,a) diarrhoea,4.2
2010,b) intestinal nematode infections,
2011,b) intestinal nematode infections,
2012,b) intestinal nematode infections,0.0
2013,b) intestinal nematode infections,
2014,b) intestinal nematode infections,
2015,b) intestinal nematode infections,
2016,b) intestinal nematode infections,
2017,b) intestinal nematode infections,
2018,b) intestinal nematode infections,
2019,b) intestinal nematode infections,
2010,c) protein-energy malnutrition,0.3
2011,c) protein-energy malnutrition,0.3
2012,c) protein-energy malnutrition,0.3
2013,c) protein-energy malnutrition,0.3
2014,c) protein-energy malnutrition,0.3
2015,c) protein-energy malnutrition,0.5
2016,c) protein-energy malnutrition,0.5
2017,c) protein-energy malnutrition,0.7
2018,c) protein-energy malnutrition,0.8
2019,c) protein-energy malnutrition,0.8
