Year,Units,type of official development assistance,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,million eur,commitments,,,,108.658
2011,million eur,commitments,,,,102.575
2012,million eur,commitments,,,,185.557
2013,million eur,commitments,,,,356.535
2014,million eur,commitments,,,,340.661
2015,million eur,commitments,,,,278.728
2016,million eur,commitments,,,,300.001
2017,million eur,commitments,,,,447.854
2018,million eur,commitments,,,,464.646
2019,million eur,commitments,,,,464.299
2020,million eur,commitments,,,,1425.335
2021,million eur,commitments,,,,2377.986
2022,million eur,commitments,,,,1793.246
2023,million eur,commitments,,,,469.164
2024,million eur,commitments,,,,407.163
2010,million eur,gross disbursements,,,,139.9
2011,million eur,gross disbursements,,,,93.8
2012,million eur,gross disbursements,,,,117.9
2013,million eur,gross disbursements,,,,180.2
2014,million eur,gross disbursements,,,,198.9
2015,million eur,gross disbursements,,,,256.6
2016,million eur,gross disbursements,,,,310.9
2017,million eur,gross disbursements,,,,380.0
2018,million eur,gross disbursements,,,,408.6
2019,million eur,gross disbursements,,,,449.8
2020,million eur,gross disbursements,,,,1494.2
2021,million eur,gross disbursements,,,,1826.5
2022,million eur,gross disbursements,,,,2571.7
2023,million eur,gross disbursements,,,,549.2
2024,million eur,gross disbursements,,,,394.3
2010,"million usd, constant prices (2024)",commitments,,,,166.688
2011,"million usd, constant prices (2024)",commitments,,,,155.443
2012,"million usd, constant prices (2024)",commitments,,,,277.216
2013,"million usd, constant prices (2024)",commitments,,,,522.223
2014,"million usd, constant prices (2024)",commitments,,,,489.685
2015,"million usd, constant prices (2024)",commitments,,,,393.794
2016,"million usd, constant prices (2024)",commitments,,,,418.57
2017,"million usd, constant prices (2024)",commitments,,,,615.797
2018,"million usd, constant prices (2024)",commitments,,,,627.146
2019,"million usd, constant prices (2024)",commitments,,,,614.309
2020,"million usd, constant prices (2024)",commitments,,,,1853.364
2021,"million usd, constant prices (2024)",commitments,,,,3011.072
2022,"million usd, constant prices (2024)",commitments,,,,2133.652
2023,"million usd, constant prices (2024)",commitments,,,,523.194
2024,"million usd, constant prices (2024)",commitments,,,,440.367
2010,"million usd, constant prices (2024)",gross disbursements,,,,214.7
2011,"million usd, constant prices (2024)",gross disbursements,,,,142.1
2012,"million usd, constant prices (2024)",gross disbursements,,,,176.2
2013,"million usd, constant prices (2024)",gross disbursements,,,,263.9
2014,"million usd, constant prices (2024)",gross disbursements,,,,286.0
2015,"million usd, constant prices (2024)",gross disbursements,,,,362.6
2016,"million usd, constant prices (2024)",gross disbursements,,,,433.8
2017,"million usd, constant prices (2024)",gross disbursements,,,,522.5
2018,"million usd, constant prices (2024)",gross disbursements,,,,551.5
2019,"million usd, constant prices (2024)",gross disbursements,,,,595.1
2020,"million usd, constant prices (2024)",gross disbursements,,,,1942.9
2021,"million usd, constant prices (2024)",gross disbursements,,,,2312.7
2022,"million usd, constant prices (2024)",gross disbursements,,,,3059.9
2023,"million usd, constant prices (2024)",gross disbursements,,,,612.5
2024,"million usd, constant prices (2024)",gross disbursements,,,,426.4
