Year,profession,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,,.,,,
2011,,.,,,
2012,,r,,,350.44
2013,,r,,,360.95
2014,,r,,,367.88
2015,,r,,,371.17
2016,,r,,,378.58
2017,,r,,,385.21
2018,,r,,,395.0
2019,,r,,,402.54
2020,,r,,,410.36
2021,,r,,,417.5
2022,,r,,,414.81
2023,,,,,419.26
2024,,,,,428.52
2010,pharmacists,,,,6.36
2011,pharmacists,,,,6.35
2012,pharmacists,r,,,6.22
2013,pharmacists,r,,,6.33
2014,pharmacists,r,,,6.43
2015,pharmacists,r,,,6.48
2016,pharmacists,r,,,6.34
2017,pharmacists,r,,,6.51
2018,pharmacists,r,,,6.63
2019,pharmacists,r,,,6.74
2020,pharmacists,r,,,6.83
2021,pharmacists,r,,,6.83
2022,pharmacists,r,,,6.73
2023,pharmacists,,,,6.71
2024,pharmacists,,,,6.7
2010,medical doctors,,,,37.89
2011,medical doctors,,,,38.72
2012,medical doctors,r,,,39.41
2013,medical doctors,r,,,40.33
2014,medical doctors,r,,,41.15
2015,medical doctors,r,,,41.34
2016,medical doctors,r,,,42.06
2017,medical doctors,r,,,42.77
2018,medical doctors,r,,,43.48
2019,medical doctors,r,,,44.41
2020,medical doctors,r,,,45.34
2021,medical doctors,r,,,46.01
2022,medical doctors,r,,,45.76
2023,medical doctors,,,,46.49
2024,medical doctors,,,,47.5
2010,nursing and midwifery personnel,,,,103.21
2011,nursing and midwifery personnel,,,,104.07
2012,nursing and midwifery personnel,r,,,104.67
2013,nursing and midwifery personnel,r,,,108.2
2014,nursing and midwifery personnel,r,,,110.1
2015,nursing and midwifery personnel,r,,,109.94
2016,nursing and midwifery personnel,r,,,112.0
2017,nursing and midwifery personnel,r,,,114.48
2018,nursing and midwifery personnel,r,,,119.1
2019,nursing and midwifery personnel,r,,,122.26
2020,nursing and midwifery personnel,r,,,125.17
2021,nursing and midwifery personnel,r,,,125.21
2022,nursing and midwifery personnel,r,,,123.82
2023,nursing and midwifery personnel,r,,,125.46
2024,nursing and midwifery personnel,,,,128.38
2010,dentists,,,,8.23
2011,dentists,,,,8.34
2012,dentists,r,,,8.45
2013,dentists,r,,,8.44
2014,dentists,r,,,8.53
2015,dentists,r,,,8.56
2016,dentists,r,,,8.54
2017,dentists,r,,,8.62
2018,dentists,r,,,8.65
2019,dentists,r,,,8.64
2020,dentists,r,,,8.65
2021,dentists,,,,8.66
2022,dentists,r,,,8.53
2023,dentists,,,,8.51
2024,dentists,,,,8.61
