Year,age group,sex,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,15 to under 25 years,,,,,75.8
2011,15 to under 25 years,,,,,76.8
2012,15 to under 25 years,,,,,77.9
2013,15 to under 25 years,,,,,78.7
2014,15 to under 25 years,,,,,78.9
2015,15 to under 25 years,,,,,79.8
2016,15 to under 25 years,,,,,79.1
2017,15 to under 25 years,,,,,79.6
2018,15 to under 25 years,,,,,79.6
2019,15 to under 25 years,,,,,79.4
2020,15 to under 25 years,,|,,,80.0
2021,15 to under 25 years,,,,,77.7
2022,15 to under 25 years,,,,,77.8
2023,15 to under 25 years,,,,,77.1
2024,15 to under 25 years,,,,,76.8
2025,15 to under 25 years,,p,,,76.9
2010,15 to under 25 years,female,,,,76.8
2011,15 to under 25 years,female,,,,77.8
2012,15 to under 25 years,female,,,,78.7
2013,15 to under 25 years,female,,,,79.2
2014,15 to under 25 years,female,,,,79.4
2015,15 to under 25 years,female,,,,80.1
2016,15 to under 25 years,female,,,,79.5
2017,15 to under 25 years,female,,,,80.2
2018,15 to under 25 years,female,,,,80.6
2019,15 to under 25 years,female,,,,80.7
2020,15 to under 25 years,female,|,,,80.9
2021,15 to under 25 years,female,,,,79.4
2022,15 to under 25 years,female,,,,79.5
2023,15 to under 25 years,female,,,,79.0
2024,15 to under 25 years,female,,,,78.7
2025,15 to under 25 years,female,p,,,78.5
2010,15 to under 25 years,male,,,,75.0
2011,15 to under 25 years,male,,,,75.8
2012,15 to under 25 years,male,,,,77.1
2013,15 to under 25 years,male,,,,78.2
2014,15 to under 25 years,male,,,,78.5
2015,15 to under 25 years,male,,,,79.4
2016,15 to under 25 years,male,,,,78.8
2017,15 to under 25 years,male,,,,79.0
2018,15 to under 25 years,male,,,,78.7
2019,15 to under 25 years,male,,,,78.1
2020,15 to under 25 years,male,|,,,79.1
2021,15 to under 25 years,male,,,,76.1
2022,15 to under 25 years,male,,,,76.2
2023,15 to under 25 years,male,,,,75.2
2024,15 to under 25 years,male,,,,75.0
2025,15 to under 25 years,male,p,,,75.5
2010,,,,,,29.8
2011,,,,,,30.3
2012,,,,,,29.2
2013,,,,,,29.2
2014,,,,,,29.0
2015,,,,,,29.4
2016,,,,,,29.9
2017,,,,,,29.2
2018,,,,,,28.9
2019,,,,,,29.2
2020,,,|,,,27.8
2021,,,,,,25.0
2022,,,,,,26.4
2023,,,,,,26.6
2024,,,,,,28.6
2025,,,p,,,29.3
2010,,female,,,,29.3
2011,,female,,,,29.6
2012,,female,,,,28.6
2013,,female,,,,28.6
2014,,female,,,,28.5
2015,,female,,,,28.8
2016,,female,,,,29.1
2017,,female,,,,28.5
2018,,female,,,,28.3
2019,,female,,,,28.9
2020,,female,|,,,27.7
2021,,female,,,,25.2
2022,,female,,,,26.8
2023,,female,,,,27.1
2024,,female,,,,29.1
2025,,female,p,,,29.8
2010,,male,,,,30.4
2011,,male,,,,31.0
2012,,male,,,,29.9
2013,,male,,,,29.8
2014,,male,,,,29.6
2015,,male,,,,30.1
2016,,male,,,,30.6
2017,,male,,,,29.9
2018,,male,,,,29.4
2019,,male,,,,29.4
2020,,male,|,,,27.9
2021,,male,,,,24.9
2022,,male,,,,26.0
2023,,male,,,,26.1
2024,,male,,,,28.1
2025,,male,p,,,28.8
2010,25 to under 55 years,,,,,23.4
2011,25 to under 55 years,,,,,24.1
2012,25 to under 55 years,,,,,22.7
2013,25 to under 55 years,,,,,22.6
2014,25 to under 55 years,,,,,22.4
2015,25 to under 55 years,,,,,22.9
2016,25 to under 55 years,,,,,23.6
2017,25 to under 55 years,,,,,22.7
2018,25 to under 55 years,,,,,22.4
2019,25 to under 55 years,,,,,22.8
2020,25 to under 55 years,,|,,,21.1
2021,25 to under 55 years,,,,,18.2
2022,25 to under 55 years,,,,,19.9
2023,25 to under 55 years,,,,,20.1
2024,25 to under 55 years,,,,,22.7
2025,25 to under 55 years,,p,,,23.4
2010,25 to under 55 years,female,,,,22.8
2011,25 to under 55 years,female,,,,23.3
2012,25 to under 55 years,female,,,,22.1
2013,25 to under 55 years,female,,,,22.1
2014,25 to under 55 years,female,,,,21.9
2015,25 to under 55 years,female,,,,22.4
2016,25 to under 55 years,female,,,,22.9
2017,25 to under 55 years,female,,,,22.0
2018,25 to under 55 years,female,,,,21.7
2019,25 to under 55 years,female,,,,22.5
2020,25 to under 55 years,female,|,,,20.9
2021,25 to under 55 years,female,,,,18.3
2022,25 to under 55 years,female,,,,20.3
2023,25 to under 55 years,female,,,,20.5
2024,25 to under 55 years,female,,,,23.3
2025,25 to under 55 years,female,,,,24.1
2010,25 to under 55 years,male,,,,24.0
2011,25 to under 55 years,male,,,,24.9
2012,25 to under 55 years,male,,,,23.3
2013,25 to under 55 years,male,,,,23.0
2014,25 to under 55 years,male,,,,22.9
2015,25 to under 55 years,male,,,,23.4
2016,25 to under 55 years,male,,,,24.2
2017,25 to under 55 years,male,,,,23.3
2018,25 to under 55 years,male,,,,23.0
2019,25 to under 55 years,male,,,,23.2
2020,25 to under 55 years,male,|,,,21.3
2021,25 to under 55 years,male,,,,18.2
2022,25 to under 55 years,male,,,,19.4
2023,25 to under 55 years,male,,,,19.7
2024,25 to under 55 years,male,,,,22.1
2025,25 to under 55 years,male,p,,,22.8
2010,55 to under 65 years,,,,,10.6
2011,55 to under 65 years,,,,,10.9
2012,55 to under 65 years,,,,,10.2
2013,55 to under 65 years,,,,,10.2
2014,55 to under 65 years,,,,,10.4
2015,55 to under 65 years,,,,,11.0
2016,55 to under 65 years,,,,,11.8
2017,55 to under 65 years,,,,,11.2
2018,55 to under 65 years,,,,,11.0
2019,55 to under 65 years,,,,,11.6
2020,55 to under 65 years,,|,,,10.3
2021,55 to under 65 years,,,,,8.4
2022,55 to under 65 years,,,,,10.0
2023,55 to under 65 years,,,,,10.4
2024,55 to under 65 years,,,,,12.2
2025,55 to under 65 years,,p,,,13.3
2010,55 to under 65 years,female,,,,9.8
2011,55 to under 65 years,female,,,,10.2
2012,55 to under 65 years,female,,,,9.6
2013,55 to under 65 years,female,,,,9.8
2014,55 to under 65 years,female,,,,10.2
2015,55 to under 65 years,female,,,,10.8
2016,55 to under 65 years,female,,,,11.6
2017,55 to under 65 years,female,,,,11.2
2018,55 to under 65 years,female,,,,11.2
2019,55 to under 65 years,female,,,,11.8
2020,55 to under 65 years,female,|,,,10.8
2021,55 to under 65 years,female,,,,8.7
2022,55 to under 65 years,female,,,,10.5
2023,55 to under 65 years,female,,,,11.1
2024,55 to under 65 years,female,,,,12.4
2025,55 to under 65 years,female,,,,13.8
2010,55 to under 65 years,male,,,,11.4
2011,55 to under 65 years,male,,,,11.8
2012,55 to under 65 years,male,,,,10.7
2013,55 to under 65 years,male,,,,10.6
2014,55 to under 65 years,male,,,,10.7
2015,55 to under 65 years,male,,,,11.3
2016,55 to under 65 years,male,,,,11.9
2017,55 to under 65 years,male,,,,11.2
2018,55 to under 65 years,male,,,,10.9
2019,55 to under 65 years,male,,,,11.4
2020,55 to under 65 years,male,|,,,9.8
2021,55 to under 65 years,male,,,,8.1
2022,55 to under 65 years,male,,,,9.5
2023,55 to under 65 years,male,,,,9.6
2024,55 to under 65 years,male,,,,12.0
2025,55 to under 65 years,male,p,,,12.8
