Year,age,activities,Value
2010,16 to under 25 years,copied or moved a file and folder,
2011,16 to under 25 years,copied or moved a file and folder,94.0
2012,16 to under 25 years,copied or moved a file and folder,87.0
2013,16 to under 25 years,copied or moved a file and folder,
2014,16 to under 25 years,copied or moved a file and folder,94.0
2015,16 to under 25 years,copied or moved a file and folder,87.0
2016,16 to under 25 years,copied or moved a file and folder,86.0
2017,16 to under 25 years,copied or moved a file and folder,84.0
2018,16 to under 25 years,copied or moved a file and folder,
2019,16 to under 25 years,copied or moved a file and folder,82.0
2010,16 to under 25 years,installed software or applications (apps),
2011,16 to under 25 years,installed software or applications (apps),
2012,16 to under 25 years,installed software or applications (apps),
2013,16 to under 25 years,installed software or applications (apps),
2014,16 to under 25 years,installed software or applications (apps),
2015,16 to under 25 years,installed software or applications (apps),87.0
2016,16 to under 25 years,installed software or applications (apps),89.0
2017,16 to under 25 years,installed software or applications (apps),86.0
2018,16 to under 25 years,installed software or applications (apps),
2019,16 to under 25 years,installed software or applications (apps),88.0
2010,16 to under 25 years,"used spreadsheet`s advanced functions to organize and analyze data, such as sorting, filtering, using formulas, creating charts",
2011,16 to under 25 years,"used spreadsheet`s advanced functions to organize and analyze data, such as sorting, filtering, using formulas, creating charts",
2012,16 to under 25 years,"used spreadsheet`s advanced functions to organize and analyze data, such as sorting, filtering, using formulas, creating charts",
2013,16 to under 25 years,"used spreadsheet`s advanced functions to organize and analyze data, such as sorting, filtering, using formulas, creating charts",
2014,16 to under 25 years,"used spreadsheet`s advanced functions to organize and analyze data, such as sorting, filtering, using formulas, creating charts",
2015,16 to under 25 years,"used spreadsheet`s advanced functions to organize and analyze data, such as sorting, filtering, using formulas, creating charts",35.0
2016,16 to under 25 years,"used spreadsheet`s advanced functions to organize and analyze data, such as sorting, filtering, using formulas, creating charts",34.0
2017,16 to under 25 years,"used spreadsheet`s advanced functions to organize and analyze data, such as sorting, filtering, using formulas, creating charts",36.0
2018,16 to under 25 years,"used spreadsheet`s advanced functions to organize and analyze data, such as sorting, filtering, using formulas, creating charts",
2019,16 to under 25 years,"used spreadsheet`s advanced functions to organize and analyze data, such as sorting, filtering, using formulas, creating charts",34.0
2010,16 to under 25 years,transferred files between computer and other devices,
2011,16 to under 25 years,transferred files between computer and other devices,92.0
2012,16 to under 25 years,transferred files between computer and other devices,88.0
2013,16 to under 25 years,transferred files between computer and other devices,
2014,16 to under 25 years,transferred files between computer and other devices,91.0
2015,16 to under 25 years,transferred files between computer and other devices,86.0
2016,16 to under 25 years,transferred files between computer and other devices,85.0
2017,16 to under 25 years,transferred files between computer and other devices,83.0
2018,16 to under 25 years,transferred files between computer and other devices,
2019,16 to under 25 years,transferred files between computer and other devices,80.0
2010,16 to under 25 years,written code in a programming language,
2011,16 to under 25 years,written code in a programming language,
2012,16 to under 25 years,written code in a programming language,
2013,16 to under 25 years,written code in a programming language,
2014,16 to under 25 years,written code in a programming language,
2015,16 to under 25 years,written code in a programming language,12.0
2016,16 to under 25 years,written code in a programming language,13.0
2017,16 to under 25 years,written code in a programming language,12.0
2018,16 to under 25 years,written code in a programming language,
2019,16 to under 25 years,written code in a programming language,14.0
2010,16 to under 75 years,copied or moved a file and folder,
2011,16 to under 75 years,copied or moved a file and folder,72.0
2012,16 to under 75 years,copied or moved a file and folder,68.0
2013,16 to under 75 years,copied or moved a file and folder,
2014,16 to under 75 years,copied or moved a file and folder,76.0
2015,16 to under 75 years,copied or moved a file and folder,68.0
2016,16 to under 75 years,copied or moved a file and folder,68.0
2017,16 to under 75 years,copied or moved a file and folder,69.0
2018,16 to under 75 years,copied or moved a file and folder,
2019,16 to under 75 years,copied or moved a file and folder,71.0
2010,16 to under 75 years,installed software or applications (apps),
2011,16 to under 75 years,installed software or applications (apps),
2012,16 to under 75 years,installed software or applications (apps),
2013,16 to under 75 years,installed software or applications (apps),
2014,16 to under 75 years,installed software or applications (apps),
2015,16 to under 75 years,installed software or applications (apps),60.0
2016,16 to under 75 years,installed software or applications (apps),63.0
2017,16 to under 75 years,installed software or applications (apps),62.0
2018,16 to under 75 years,installed software or applications (apps),
2019,16 to under 75 years,installed software or applications (apps),68.0
2010,16 to under 75 years,"used spreadsheet`s advanced functions to organize and analyze data, such as sorting, filtering, using formulas, creating charts",
2011,16 to under 75 years,"used spreadsheet`s advanced functions to organize and analyze data, such as sorting, filtering, using formulas, creating charts",
2012,16 to under 75 years,"used spreadsheet`s advanced functions to organize and analyze data, such as sorting, filtering, using formulas, creating charts",
2013,16 to under 75 years,"used spreadsheet`s advanced functions to organize and analyze data, such as sorting, filtering, using formulas, creating charts",
2014,16 to under 75 years,"used spreadsheet`s advanced functions to organize and analyze data, such as sorting, filtering, using formulas, creating charts",
2015,16 to under 75 years,"used spreadsheet`s advanced functions to organize and analyze data, such as sorting, filtering, using formulas, creating charts",32.0
2016,16 to under 75 years,"used spreadsheet`s advanced functions to organize and analyze data, such as sorting, filtering, using formulas, creating charts",31.0
2017,16 to under 75 years,"used spreadsheet`s advanced functions to organize and analyze data, such as sorting, filtering, using formulas, creating charts",33.0
2018,16 to under 75 years,"used spreadsheet`s advanced functions to organize and analyze data, such as sorting, filtering, using formulas, creating charts",
2019,16 to under 75 years,"used spreadsheet`s advanced functions to organize and analyze data, such as sorting, filtering, using formulas, creating charts",33.0
2010,16 to under 75 years,transferred files between computer and other devices,
2011,16 to under 75 years,transferred files between computer and other devices,61.0
2012,16 to under 75 years,transferred files between computer and other devices,59.0
2013,16 to under 75 years,transferred files between computer and other devices,
2014,16 to under 75 years,transferred files between computer and other devices,65.0
2015,16 to under 75 years,transferred files between computer and other devices,60.0
2016,16 to under 75 years,transferred files between computer and other devices,62.0
2017,16 to under 75 years,transferred files between computer and other devices,64.0
2018,16 to under 75 years,transferred files between computer and other devices,
2019,16 to under 75 years,transferred files between computer and other devices,66.0
2010,16 to under 75 years,written code in a programming language,
2011,16 to under 75 years,written code in a programming language,
2012,16 to under 75 years,written code in a programming language,
2013,16 to under 75 years,written code in a programming language,
2014,16 to under 75 years,written code in a programming language,
2015,16 to under 75 years,written code in a programming language,6.0
2016,16 to under 75 years,written code in a programming language,6.0
2017,16 to under 75 years,written code in a programming language,6.0
2018,16 to under 75 years,written code in a programming language,
2019,16 to under 75 years,written code in a programming language,6.0
