Year,Units,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,number,.,,,
2011,number,.,,,
2012,number,.,,,
2013,number,.,,,
2014,number,.,,,
2015,number,.,,,
2016,number,.,,,
2017,number,.,,,
2018,number,r,,,3331.0
2019,number,r,,,3259.0
2020,number,r,,,3578.0
2021,number,r,,,3817.0
2022,number,r,,,4227.0
2023,number,r,,,4521.0
2024,number,,,,4994.0
2010,percentage,.,,,
2011,percentage,.,,,
2012,percentage,.,,,
2013,percentage,.,,,
2014,percentage,.,,,
2015,percentage,.,,,
2016,percentage,.,,,
2017,percentage,.,,,
2018,percentage,,,,0.01
2019,percentage,,,,0.01
2020,percentage,,,,0.01
2021,percentage,,,,0.01
2022,percentage,,,,0.01
2023,percentage,,,,0.01
2024,percentage,,,,0.01
