Year,timeseries,region,GeoCode,Value
2010,seats held by women in national parliament,germany,,
2011,seats held by women in national parliament,germany,,
2012,seats held by women in national parliament,germany,,
2013,seats held by women in national parliament,germany,,36.3
2014,seats held by women in national parliament,germany,,
2015,seats held by women in national parliament,germany,,
2016,seats held by women in national parliament,germany,,
2017,seats held by women in national parliament,germany,,30.7
2018,seats held by women in national parliament,germany,,
2019,seats held by women in national parliament,germany,,
2020,seats held by women in national parliament,germany,,
2021,seats held by women in national parliament,germany,,34.8
2010,seats held by women in national parliament,baden-wuerttemberg,code08,
2011,seats held by women in national parliament,baden-wuerttemberg,code08,18.1
2012,seats held by women in national parliament,baden-wuerttemberg,code08,
2013,seats held by women in national parliament,baden-wuerttemberg,code08,
2014,seats held by women in national parliament,baden-wuerttemberg,code08,
2015,seats held by women in national parliament,baden-wuerttemberg,code08,
2016,seats held by women in national parliament,baden-wuerttemberg,code08,24.5
2017,seats held by women in national parliament,baden-wuerttemberg,code08,
2018,seats held by women in national parliament,baden-wuerttemberg,code08,
2019,seats held by women in national parliament,baden-wuerttemberg,code08,
2020,seats held by women in national parliament,baden-wuerttemberg,code08,
2021,seats held by women in national parliament,baden-wuerttemberg,code08,29.2
2010,seats held by women in national parliament,bavaria,code09,
2011,seats held by women in national parliament,bavaria,code09,
2012,seats held by women in national parliament,bavaria,code09,
2013,seats held by women in national parliament,bavaria,code09,29.4
2014,seats held by women in national parliament,bavaria,code09,
2015,seats held by women in national parliament,bavaria,code09,
2016,seats held by women in national parliament,bavaria,code09,
2017,seats held by women in national parliament,bavaria,code09,
2018,seats held by women in national parliament,bavaria,code09,26.8
2019,seats held by women in national parliament,bavaria,code09,
2020,seats held by women in national parliament,bavaria,code09,
2021,seats held by women in national parliament,bavaria,code09,
2010,seats held by women in national parliament,berlin,code11,
2011,seats held by women in national parliament,berlin,code11,34.9
2012,seats held by women in national parliament,berlin,code11,
2013,seats held by women in national parliament,berlin,code11,
2014,seats held by women in national parliament,berlin,code11,
2015,seats held by women in national parliament,berlin,code11,
2016,seats held by women in national parliament,berlin,code11,33.1
2017,seats held by women in national parliament,berlin,code11,
2018,seats held by women in national parliament,berlin,code11,
2019,seats held by women in national parliament,berlin,code11,
2020,seats held by women in national parliament,berlin,code11,
2021,seats held by women in national parliament,berlin,code11,
2010,seats held by women in national parliament,brandenburg,code12,
2011,seats held by women in national parliament,brandenburg,code12,
2012,seats held by women in national parliament,brandenburg,code12,
2013,seats held by women in national parliament,brandenburg,code12,
2014,seats held by women in national parliament,brandenburg,code12,34.1
2015,seats held by women in national parliament,brandenburg,code12,
2016,seats held by women in national parliament,brandenburg,code12,
2017,seats held by women in national parliament,brandenburg,code12,
2018,seats held by women in national parliament,brandenburg,code12,
2019,seats held by women in national parliament,brandenburg,code12,31.8
2020,seats held by women in national parliament,brandenburg,code12,
2021,seats held by women in national parliament,brandenburg,code12,
2010,seats held by women in national parliament,bremen,code04,
2011,seats held by women in national parliament,bremen,code04,43.4
2012,seats held by women in national parliament,bremen,code04,
2013,seats held by women in national parliament,bremen,code04,
2014,seats held by women in national parliament,bremen,code04,
2015,seats held by women in national parliament,bremen,code04,33.7
2016,seats held by women in national parliament,bremen,code04,
2017,seats held by women in national parliament,bremen,code04,
2018,seats held by women in national parliament,bremen,code04,
2019,seats held by women in national parliament,bremen,code04,40.5
2020,seats held by women in national parliament,bremen,code04,
2021,seats held by women in national parliament,bremen,code04,
2010,seats held by women in national parliament,hamburg,code02,
2011,seats held by women in national parliament,hamburg,code02,38.8
2012,seats held by women in national parliament,hamburg,code02,
2013,seats held by women in national parliament,hamburg,code02,
2014,seats held by women in national parliament,hamburg,code02,
2015,seats held by women in national parliament,hamburg,code02,38.8
2016,seats held by women in national parliament,hamburg,code02,
2017,seats held by women in national parliament,hamburg,code02,
2018,seats held by women in national parliament,hamburg,code02,
2019,seats held by women in national parliament,hamburg,code02,
2020,seats held by women in national parliament,hamburg,code02,43.9
2021,seats held by women in national parliament,hamburg,code02,
2010,seats held by women in national parliament,hesse,code06,
2011,seats held by women in national parliament,hesse,code06,
2012,seats held by women in national parliament,hesse,code06,
2013,seats held by women in national parliament,hesse,code06,31.8
2014,seats held by women in national parliament,hesse,code06,
