Year,type of account,Value
2010,,
2011,,
2012,,
2013,,
2014,,145480.0
2015,,148138.0
2016,,150897.0
2017,,151388.0
2018,,153212.0
2019,,156026.0
2020,,159106.0
2010,online accounts,
2011,online accounts,
2012,online accounts,
2013,online accounts,
2014,online accounts,78631.0
2015,online accounts,81488.0
2016,online accounts,85985.0
2017,online accounts,89351.0
2018,online accounts,93542.0
2019,online accounts,98983.0
2020,online accounts,103732.0
2010,current accounts,94982.0
2011,current accounts,95684.0
2012,current accounts,96858.0
2013,current accounts,98512.0
2014,current accounts,99875.0
2015,current accounts,101661.0
2016,current accounts,103844.0
2017,current accounts,103876.0
2018,current accounts,105955.0
2019,current accounts,107973.0
2020,current accounts,109216.0
