Year,sex,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,,,,,8.3
2011,,,,,7.5
2012,,,,,7.1
2013,,,,,6.3
2014,,,,,6.4
2015,,,,,6.2
2016,,,,,6.7
2017,,,,,6.3
2018,,,,,5.9
2019,,,,,5.7
2020,,|,,,7.4
2021,,|,,,7.8
2022,,r,,,7.0
2023,,,,,7.5
2024,,|,,,7.2
2010,female,,,,9.0
2011,female,,,,8.3
2012,female,,,,7.9
2013,female,,,,7.0
2014,female,,,,7.2
2015,female,,,,7.0
2016,female,,,,7.4
2017,female,,,,6.7
2018,female,,,,6.5
2019,female,,,,6.2
2020,female,|,,,7.6
2021,female,|,,,8.0
2022,female,r,,,7.6
2023,female,,,,7.7
2024,female,|,,,7.4
2010,male,,,,7.6
2011,male,,,,6.7
2012,male,,,,6.3
2013,male,,,,5.6
2014,male,,,,5.5
2015,male,,,,5.4
2016,male,,,,6.1
2017,male,,,,5.8
2018,male,,,,5.4
2019,male,,,,5.2
2020,male,|,,,7.2
2021,male,|,,,7.7
2022,male,r,,,6.4
2023,male,,,,7.2
2024,male,|,,,7.0
