Year,age,sex,Value
2010,under 14 years,,11
2011,under 14 years,,29
2012,under 14 years,,19
2013,under 14 years,,18
2014,under 14 years,,22
2015,under 14 years,,19
2016,under 14 years,,36
2017,under 14 years,,67
2018,under 14 years,,18
2019,under 14 years,,15
2020,under 14 years,,31
2010,under 14 years,female,2
2011,under 14 years,female,13
2012,under 14 years,female,11
2013,under 14 years,female,6
2014,under 14 years,female,9
2015,under 14 years,female,7
2016,under 14 years,female,15
2017,under 14 years,female,16
2018,under 14 years,female,9
2019,under 14 years,female,9
2020,under 14 years,female,10
2010,under 14 years,male,9
2011,under 14 years,male,16
2012,under 14 years,male,8
2013,under 14 years,male,12
2014,under 14 years,male,13
2015,under 14 years,male,12
2016,under 14 years,male,21
2017,under 14 years,male,51
2018,under 14 years,male,9
2019,under 14 years,male,6
2020,under 14 years,male,21
2010,14 to under 18 years,,108
2011,14 to under 18 years,,95
2012,14 to under 18 years,,96
2013,14 to under 18 years,,92
2014,14 to under 18 years,,76
2015,14 to under 18 years,,87
2016,14 to under 18 years,,111
2017,14 to under 18 years,,53
2018,14 to under 18 years,,112
2019,14 to under 18 years,,89
2020,14 to under 18 years,,86
2010,14 to under 18 years,female,97
2011,14 to under 18 years,female,82
2012,14 to under 18 years,female,88
2013,14 to under 18 years,female,79
2014,14 to under 18 years,female,66
2015,14 to under 18 years,female,80
2016,14 to under 18 years,female,100
2017,14 to under 18 years,female,49
2018,14 to under 18 years,female,96
2019,14 to under 18 years,female,74
2020,14 to under 18 years,female,62
2010,14 to under 18 years,male,11
2011,14 to under 18 years,male,13
2012,14 to under 18 years,male,8
2013,14 to under 18 years,male,13
2014,14 to under 18 years,male,10
2015,14 to under 18 years,male,7
2016,14 to under 18 years,male,11
2017,14 to under 18 years,male,4
2018,14 to under 18 years,male,16
2019,14 to under 18 years,male,15
2020,14 to under 18 years,male,24
2010,,,119
2011,,,124
2012,,,115
2013,,,110
2014,,,98
2015,,,106
2016,,,147
2017,,,120
2018,,,130
2019,,,104
2020,,,117
2010,,female,99
2011,,female,95
2012,,female,99
2013,,female,85
2014,,female,75
2015,,female,87
2016,,female,115
2017,,female,65
2018,,female,105
2019,,female,83
2020,,female,72
2010,,male,20
2011,,male,29
2012,,male,16
2013,,male,25
2014,,male,23
2015,,male,19
2016,,male,32
2017,,male,55
2018,,male,25
2019,,male,21
2020,,male,45
