Year,timeseries,sex,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,fatal occupational accidents,,,,,1.2
2011,fatal occupational accidents,,,,,1.2
2012,fatal occupational accidents,,,,,1.2
2013,fatal occupational accidents,,,,,1.0
2014,fatal occupational accidents,,,,,1.2
2015,fatal occupational accidents,,,,,1.0
2016,fatal occupational accidents,,,,,1.0
2017,fatal occupational accidents,,|,,,0.9
2018,fatal occupational accidents,,,,,0.8
2019,fatal occupational accidents,,,,,0.8
2020,fatal occupational accidents,,|,,,0.7
2021,fatal occupational accidents,,,,,0.8
2022,fatal occupational accidents,,,,,0.7
2023,fatal occupational accidents,,,,,0.7
2010,non-fatal occupational accidents,,,,,1976.1
2011,non-fatal occupational accidents,,,,,2058.3
2012,non-fatal occupational accidents,,,,,1956.3
2013,non-fatal occupational accidents,,r,,,2025.4
2014,non-fatal occupational accidents,,,,,1977.3
2015,non-fatal occupational accidents,,,,,1930.6
2016,non-fatal occupational accidents,,,,,1950.9
2017,non-fatal occupational accidents,,|,,,1819.6
2018,non-fatal occupational accidents,,,,,1721.6
2019,non-fatal occupational accidents,,,,,1650.8
2020,non-fatal occupational accidents,,|,,,1504.7
2021,non-fatal occupational accidents,,,,,1573.4
2022,non-fatal occupational accidents,,,,,1484.0
2023,non-fatal occupational accidents,,r,,,1396.8
2010,non-fatal occupational accidents,female,,,,1022.7
2011,non-fatal occupational accidents,female,,,,1004.4
2012,non-fatal occupational accidents,female,,,,998.3
2013,non-fatal occupational accidents,female,r,,,1121.9
2014,non-fatal occupational accidents,female,,,,1098.4
2015,non-fatal occupational accidents,female,,,,1094.0
2016,non-fatal occupational accidents,female,,,,1097.3
2017,non-fatal occupational accidents,female,|,,,987.7
2018,non-fatal occupational accidents,female,,,,920.1
2019,non-fatal occupational accidents,female,,,,905.1
2020,non-fatal occupational accidents,female,|,r,,807.7
2021,non-fatal occupational accidents,female,,,,844.4
2022,non-fatal occupational accidents,female,,,,810.2
2023,non-fatal occupational accidents,female,,,,797.1
2010,non-fatal occupational accidents,male,,,,2806.8
2011,non-fatal occupational accidents,male,,,,3015.8
2012,non-fatal occupational accidents,male,,,,2820.5
2013,non-fatal occupational accidents,male,r,,,2856.5
2014,non-fatal occupational accidents,male,,,,2780.6
2015,non-fatal occupational accidents,male,,,,2694.4
2016,non-fatal occupational accidents,male,,,,2734.3
2017,non-fatal occupational accidents,male,|,,,2578.2
2018,non-fatal occupational accidents,male,,,,2453.0
2019,non-fatal occupational accidents,male,,,,2332.3
2020,non-fatal occupational accidents,male,|,r,,2145.4
2021,non-fatal occupational accidents,male,,,,2238.4
2022,non-fatal occupational accidents,male,,,,2109.7
2023,non-fatal occupational accidents,male,,,,1950.7
