Year,Units,mode of transport,Series,Value
2010,million passenger-kilometre,,passenger transport,1117240.0
2011,million passenger-kilometre,,passenger transport,1131004.0
2012,million passenger-kilometre,,passenger transport,1135558.0
2013,million passenger-kilometre,,passenger transport,1143475.0
2014,million passenger-kilometre,,passenger transport,1162942.0
2015,million passenger-kilometre,,passenger transport,1180646.0
2016,million passenger-kilometre,,passenger transport,1204775.0
2017,million passenger-kilometre,,passenger transport,1155136.0
2018,million passenger-kilometre,,passenger transport,1161885.0
2019,million passenger-kilometre,,passenger transport,1170186.0
2020,million passenger-kilometre,,passenger transport,945755.0
2021,million passenger-kilometre,,passenger transport,
2010,million passenger-kilometre,road transport,passenger transport,78092.0
2011,million passenger-kilometre,road transport,passenger transport,77957.0
2012,million passenger-kilometre,road transport,passenger transport,76019.0
2013,million passenger-kilometre,road transport,passenger transport,76146.0
2014,million passenger-kilometre,road transport,passenger transport,78786.0
2015,million passenger-kilometre,road transport,passenger transport,81771.0
2016,million passenger-kilometre,road transport,passenger transport,81445.0
2017,million passenger-kilometre,road transport,passenger transport,79730.0
2018,million passenger-kilometre,road transport,passenger transport,80103.0
2019,million passenger-kilometre,road transport,passenger transport,78919.0
2020,million passenger-kilometre,road transport,passenger transport,45735.0
2021,million passenger-kilometre,road transport,passenger transport,
2010,million passenger-kilometre,rail transport,passenger transport,83886.0
2011,million passenger-kilometre,rail transport,passenger transport,85414.0
2012,million passenger-kilometre,rail transport,passenger transport,88795.0
2013,million passenger-kilometre,rail transport,passenger transport,89615.0
2014,million passenger-kilometre,rail transport,passenger transport,90976.0
2015,million passenger-kilometre,rail transport,passenger transport,91603.0
2016,million passenger-kilometre,rail transport,passenger transport,94196.0
2017,million passenger-kilometre,rail transport,passenger transport,95530.0
2018,million passenger-kilometre,rail transport,passenger transport,98061.0
2019,million passenger-kilometre,rail transport,passenger transport,102026.0
2020,million passenger-kilometre,rail transport,passenger transport,58816.0
2021,million passenger-kilometre,rail transport,passenger transport,
2010,million passenger-kilometre,air transport,passenger transport,52822.0
2011,million passenger-kilometre,air transport,passenger transport,55215.0
2012,million passenger-kilometre,air transport,passenger transport,56180.0
2013,million passenger-kilometre,air transport,passenger transport,56294.0
2014,million passenger-kilometre,air transport,passenger transport,58223.0
2015,million passenger-kilometre,air transport,passenger transport,61543.0
