Year,Units,type of waste,Series,Value
2010,percentage,municipal waste,national recycling rate,63
2011,percentage,municipal waste,national recycling rate,63
2012,percentage,municipal waste,national recycling rate,65
2013,percentage,municipal waste,national recycling rate,64
2014,percentage,municipal waste,national recycling rate,66
2015,percentage,municipal waste,national recycling rate,67
2016,percentage,municipal waste,national recycling rate,67
2017,percentage,municipal waste,national recycling rate,67
2018,percentage,municipal waste,national recycling rate,67
2019,percentage,municipal waste,national recycling rate,68
2020,percentage,municipal waste,national recycling rate,67
2021,percentage,municipal waste,national recycling rate,68
2022,percentage,municipal waste,national recycling rate,68
2010,"1,000 tonnes",municipal waste,material recovery,30774
2011,"1,000 tonnes",municipal waste,material recovery,31633
2012,"1,000 tonnes",municipal waste,material recovery,32460
2013,"1,000 tonnes",municipal waste,material recovery,31629
2014,"1,000 tonnes",municipal waste,material recovery,33544
2015,"1,000 tonnes",municipal waste,material recovery,34453
2016,"1,000 tonnes",municipal waste,material recovery,34958
2017,"1,000 tonnes",municipal waste,material recovery,34783
2018,"1,000 tonnes",municipal waste,material recovery,33723
2019,"1,000 tonnes",municipal waste,material recovery,34227
2020,"1,000 tonnes",municipal waste,material recovery,34379
2021,"1,000 tonnes",municipal waste,material recovery,35115
2022,"1,000 tonnes",municipal waste,material recovery,32873
2010,percentage,total waste,national recycling rate,69
2011,percentage,total waste,national recycling rate,69
2012,percentage,total waste,national recycling rate,70
2013,percentage,total waste,national recycling rate,69
2014,percentage,total waste,national recycling rate,69
2015,percentage,total waste,national recycling rate,68
2016,percentage,total waste,national recycling rate,70
2017,percentage,total waste,national recycling rate,69
2018,percentage,total waste,national recycling rate,70
2019,percentage,total waste,national recycling rate,70
2020,percentage,total waste,national recycling rate,70
2021,percentage,total waste,national recycling rate,70
2022,percentage,total waste,national recycling rate,70
2010,"1,000 tonnes",total waste,material recovery,257350
2011,"1,000 tonnes",total waste,material recovery,267105
2012,"1,000 tonnes",total waste,material recovery,265363
2013,"1,000 tonnes",total waste,material recovery,265552
2014,"1,000 tonnes",total waste,material recovery,276265
2015,"1,000 tonnes",total waste,material recovery,274619
2016,"1,000 tonnes",total waste,material recovery,287631
2017,"1,000 tonnes",total waste,material recovery,284847
2018,"1,000 tonnes",total waste,material recovery,290456
2019,"1,000 tonnes",total waste,material recovery,292006
2020,"1,000 tonnes",total waste,material recovery,290157
2021,"1,000 tonnes",total waste,material recovery,288460
2022,"1,000 tonnes",total waste,material recovery,279975
