Year,sea,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Series,Value
2010,,,,,sustainably managed fish stocks in the north and baltic seas on all msy examined stocks,36.4
2011,,,,,sustainably managed fish stocks in the north and baltic seas on all msy examined stocks,45.5
2012,,,,,sustainably managed fish stocks in the north and baltic seas on all msy examined stocks,45.5
2013,,,,,sustainably managed fish stocks in the north and baltic seas on all msy examined stocks,45.5
2014,,,,,sustainably managed fish stocks in the north and baltic seas on all msy examined stocks,51.5
2015,,,,,sustainably managed fish stocks in the north and baltic seas on all msy examined stocks,36.4
2016,,,,,sustainably managed fish stocks in the north and baltic seas on all msy examined stocks,30.3
2017,,,,,sustainably managed fish stocks in the north and baltic seas on all msy examined stocks,41.2
2018,,,,,sustainably managed fish stocks in the north and baltic seas on all msy examined stocks,44.1
2019,,,,,sustainably managed fish stocks in the north and baltic seas on all msy examined stocks,38.2
2020,,,,,sustainably managed fish stocks in the north and baltic seas on all msy examined stocks,41.2
2021,,,,,sustainably managed fish stocks in the north and baltic seas on all msy examined stocks,55.9
2022,,,,,sustainably managed fish stocks in the north and baltic seas on all msy examined stocks,58.8
2023,,,,,sustainably managed fish stocks in the north and baltic seas on all msy examined stocks,61.8
2024,,,,,sustainably managed fish stocks in the north and baltic seas on all msy examined stocks,67.6
2010,greater north sea,,,,sustainably managed fish stocks in the north and baltic seas on all msy examined stocks,42.3
2011,greater north sea,,,,sustainably managed fish stocks in the north and baltic seas on all msy examined stocks,46.2
2012,greater north sea,,,,sustainably managed fish stocks in the north and baltic seas on all msy examined stocks,42.3
2013,greater north sea,,,,sustainably managed fish stocks in the north and baltic seas on all msy examined stocks,46.2
2014,greater north sea,,,,sustainably managed fish stocks in the north and baltic seas on all msy examined stocks,46.2
2015,greater north sea,,,,sustainably managed fish stocks in the north and baltic seas on all msy examined stocks,42.3
2016,greater north sea,,,,sustainably managed fish stocks in the north and baltic seas on all msy examined stocks,34.6
2017,greater north sea,,,,sustainably managed fish stocks in the north and baltic seas on all msy examined stocks,44.4
2018,greater north sea,,,,sustainably managed fish stocks in the north and baltic seas on all msy examined stocks,48.1
2019,greater north sea,,,,sustainably managed fish stocks in the north and baltic seas on all msy examined stocks,40.7
2020,greater north sea,,,,sustainably managed fish stocks in the north and baltic seas on all msy examined stocks,48.1
2021,greater north sea,,,,sustainably managed fish stocks in the north and baltic seas on all msy examined stocks,59.3
2022,greater north sea,,,,sustainably managed fish stocks in the north and baltic seas on all msy examined stocks,59.3
2023,greater north sea,,,,sustainably managed fish stocks in the north and baltic seas on all msy examined stocks,59.3
2024,greater north sea,,,,sustainably managed fish stocks in the north and baltic seas on all msy examined stocks,63.0
2010,baltic sea,,,,sustainably managed fish stocks in the north and baltic seas on all msy examined stocks,14.3
2011,baltic sea,,,,sustainably managed fish stocks in the north and baltic seas on all msy examined stocks,42.9
2012,baltic sea,,,,sustainably managed fish stocks in the north and baltic seas on all msy examined stocks,57.1
2013,baltic sea,,,,sustainably managed fish stocks in the north and baltic seas on all msy examined stocks,42.9
2014,baltic sea,,,,sustainably managed fish stocks in the north and baltic seas on all msy examined stocks,71.4
2015,baltic sea,,,,sustainably managed fish stocks in the north and baltic seas on all msy examined stocks,14.3
2016,baltic sea,,,,sustainably managed fish stocks in the north and baltic seas on all msy examined stocks,14.3
2017,baltic sea,,,,sustainably managed fish stocks in the north and baltic seas on all msy examined stocks,28.6
2018,baltic sea,,,,sustainably managed fish stocks in the north and baltic seas on all msy examined stocks,28.6
2019,baltic sea,,,,sustainably managed fish stocks in the north and baltic seas on all msy examined stocks,28.6
2020,baltic sea,,,,sustainably managed fish stocks in the north and baltic seas on all msy examined stocks,14.3
2021,baltic sea,,,,sustainably managed fish stocks in the north and baltic seas on all msy examined stocks,42.9
2022,baltic sea,,,,sustainably managed fish stocks in the north and baltic seas on all msy examined stocks,57.1
2023,baltic sea,,,,sustainably managed fish stocks in the north and baltic seas on all msy examined stocks,71.4
2024,baltic sea,,,,sustainably managed fish stocks in the north and baltic seas on all msy examined stocks,85.7
2010,,,,,msy examined fish stocks in all managed stocks,33.0
2011,,,,,msy examined fish stocks in all managed stocks,33.0
2012,,,,,msy examined fish stocks in all managed stocks,33.0
2013,,,,,msy examined fish stocks in all managed stocks,33.0
2014,,,,,msy examined fish stocks in all managed stocks,33.0
2015,,,,,msy examined fish stocks in all managed stocks,33.0
2016,,,,,msy examined fish stocks in all managed stocks,33.0
2017,,,,,msy examined fish stocks in all managed stocks,34.0
2018,,,,,msy examined fish stocks in all managed stocks,34.0
2019,,,,,msy examined fish stocks in all managed stocks,34.0
2020,,,,,msy examined fish stocks in all managed stocks,34.0
2021,,,,,msy examined fish stocks in all managed stocks,34.0
2022,,,,,msy examined fish stocks in all managed stocks,34.0
2023,,,,,msy examined fish stocks in all managed stocks,34.0
