Year,Units,type of biomass,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Series,Value
2010,million tonnes carbon,,,,,above-ground biomass stock in forest,1571.0
2011,million tonnes carbon,,,,,above-ground biomass stock in forest,1584.9
2012,million tonnes carbon,,,,,above-ground biomass stock in forest,1598.2
2013,million tonnes carbon,,,,,above-ground biomass stock in forest,1611.9
2014,million tonnes carbon,,,,,above-ground biomass stock in forest,1636.5
2015,million tonnes carbon,,r,,,above-ground biomass stock in forest,1644.4
2016,million tonnes carbon,,r,,,above-ground biomass stock in forest,1653.5
2017,million tonnes carbon,,r,,,above-ground biomass stock in forest,1661.7
2018,million tonnes carbon,,r,,,above-ground biomass stock in forest,1666.8
2019,million tonnes carbon,,r,,,above-ground biomass stock in forest,1671.3
2020,million tonnes carbon,,r,,,above-ground biomass stock in forest,1672.9
2021,million tonnes carbon,,r,,,above-ground biomass stock in forest,1673.4
2022,million tonnes carbon,,,,,above-ground biomass stock in forest,1675.7
2010,percentage,,.,,,forest area located within protected areas,
2011,percentage,,.,,,forest area located within protected areas,
2012,percentage,,,,,forest area located within protected areas,0.7
2013,percentage,,.,,,forest area located within protected areas,
2014,percentage,,.,,,forest area located within protected areas,
2015,percentage,,r,,,forest area located within protected areas,0.5
2016,percentage,,.,,,forest area located within protected areas,
2017,percentage,,.,,,forest area located within protected areas,
2018,percentage,,r,,,forest area located within protected areas,0.6
2019,percentage,,.,,,forest area located within protected areas,
2020,percentage,,.,,,forest area located within protected areas,
2021,percentage,,,,,forest area located within protected areas,0.6
2010,percentage,,,,,forest area net change rate,0.1
2011,percentage,,r,,,forest area net change rate,1.0
2012,percentage,,r,,,forest area net change rate,0.1
2013,percentage,,r,,,forest area net change rate,0.2
2014,percentage,,,,,forest area net change rate,0.2
2015,percentage,,,,,forest area net change rate,0.2
2016,percentage,,|,r,,forest area net change rate,0.3
2017,percentage,,r,,,forest area net change rate,0.4
2018,percentage,,r,,,forest area net change rate,0.3
2019,percentage,,r,,,forest area net change rate,0.1
2020,percentage,,,,,forest area net change rate,0.1
2021,percentage,,,,,forest area net change rate,0.1
2022,percentage,,,,,forest area net change rate,0.2
2023,percentage,,,,,forest area net change rate,0.2
2010,percentage,,,,,forest area under an independently verified forest management certification scheme,67.5
2011,percentage,,,,,forest area under an independently verified forest management certification scheme,67.2
2012,percentage,,,,,forest area under an independently verified forest management certification scheme,66.9
2013,percentage,,,,,forest area under an independently verified forest management certification scheme,66.9
2014,percentage,,,,,forest area under an independently verified forest management certification scheme,66.6
2015,percentage,,,,,forest area under an independently verified forest management certification scheme,66.2
2016,percentage,,,,,forest area under an independently verified forest management certification scheme,66.7
2017,percentage,,r,,,forest area under an independently verified forest management certification scheme,67.0
2018,percentage,,,,,forest area under an independently verified forest management certification scheme,68.6
2019,percentage,,r,,,forest area under an independently verified forest management certification scheme,68.7
2020,percentage,,r,,,forest area under an independently verified forest management certification scheme,73.3
2021,percentage,,r,,,forest area under an independently verified forest management certification scheme,78.5
2022,percentage,,r,,,forest area under an independently verified forest management certification scheme,78.6
2023,percentage,,r,,,forest area under an independently verified forest management certification scheme,78.6
2024,percentage,,,,,forest area under an independently verified forest management certification scheme,79.3
2010,million tonnes carbon,standig wood,,,,above-ground biomass stock in forest,1075.0
2011,million tonnes carbon,standig wood,,,,above-ground biomass stock in forest,1084.6
2012,million tonnes carbon,standig wood,,,,above-ground biomass stock in forest,1093.7
2013,million tonnes carbon,standig wood,,,,above-ground biomass stock in forest,1103.1
2014,million tonnes carbon,standig wood,,,,above-ground biomass stock in forest,890.0
