Year,timeseries,Value
2010,key biodiversity areas (kbas) covered by protected areas,72.76
2011,key biodiversity areas (kbas) covered by protected areas,72.76
2012,key biodiversity areas (kbas) covered by protected areas,72.79
2013,key biodiversity areas (kbas) covered by protected areas,72.79
2014,key biodiversity areas (kbas) covered by protected areas,73.47
2015,key biodiversity areas (kbas) covered by protected areas,73.47
2016,key biodiversity areas (kbas) covered by protected areas,73.47
2017,key biodiversity areas (kbas) covered by protected areas,73.47
2018,key biodiversity areas (kbas) covered by protected areas,74.38
2019,key biodiversity areas (kbas) covered by protected areas,74.38
2010,"mountain regions, covered by protected areas",50.58
2011,"mountain regions, covered by protected areas",50.75
2012,"mountain regions, covered by protected areas",50.93
2013,"mountain regions, covered by protected areas",51.35
2014,"mountain regions, covered by protected areas",51.68
2015,"mountain regions, covered by protected areas",51.87
2016,"mountain regions, covered by protected areas",52.49
2017,"mountain regions, covered by protected areas",52.53
2018,"mountain regions, covered by protected areas",53.49
2019,"mountain regions, covered by protected areas",53.49
