Year,type of violence,sex,age group,type of physical violence,type of psychological violence,type of sexual violence,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,(a) physical violence,,,,,,.,,,
2011,(a) physical violence,,,,,,.,,,
2012,(a) physical violence,,,,,,r,,,
2013,(a) physical violence,,,,,,.,,,
2014,(a) physical violence,,,,,,.,,,
2015,(a) physical violence,,,,,,.,,,
2016,(a) physical violence,,,,,,.,,,
2017,(a) physical violence,,,,,,,,,
2018,(a) physical violence,,,,,,.,,,
2019,(a) physical violence,,,,,,.,,,
2020,(a) physical violence,,,,,,|,r,,2.3
2021,(a) physical violence,,,,,,…,,,
2022,(a) physical violence,,,,,,…,,,
2023,(a) physical violence,,,,,,…,,,
2024,(a) physical violence,,,,,,…,,,
2010,(a) physical violence,female,,,,,.,,,
2011,(a) physical violence,female,,,,,.,,,
2012,(a) physical violence,female,,,,,r,,,
2013,(a) physical violence,female,,,,,.,,,
2014,(a) physical violence,female,,,,,.,,,
2015,(a) physical violence,female,,,,,.,,,
2016,(a) physical violence,female,,,,,.,,,
2017,(a) physical violence,female,,,,,,,,
2018,(a) physical violence,female,,,,,.,,,
2019,(a) physical violence,female,,,,,.,,,
2020,(a) physical violence,female,,,,,|,r,,1.6
2021,(a) physical violence,female,,,,,…,,,
2022,(a) physical violence,female,,,,,…,,,
2023,(a) physical violence,female,,,,,…,,,
2024,(a) physical violence,female,,,,,…,,,
2010,(a) physical violence,male,,,,,.,,,
2011,(a) physical violence,male,,,,,.,,,
2012,(a) physical violence,male,,,,,r,,,
2013,(a) physical violence,male,,,,,.,,,
2014,(a) physical violence,male,,,,,.,,,
2015,(a) physical violence,male,,,,,.,,,
2016,(a) physical violence,male,,,,,.,,,
2017,(a) physical violence,male,,,,,,,,
2018,(a) physical violence,male,,,,,.,,,
2019,(a) physical violence,male,,,,,.,,,
2020,(a) physical violence,male,,,,,|,r,,3.0
2021,(a) physical violence,male,,,,,…,,,
2022,(a) physical violence,male,,,,,…,,,
2023,(a) physical violence,male,,,,,…,,,
2024,(a) physical violence,male,,,,,…,,,
2010,(a) physical violence,,16 to under 25 years,,,,.,,,
2011,(a) physical violence,,16 to under 25 years,,,,.,,,
2012,(a) physical violence,,16 to under 25 years,,,,r,,,
2013,(a) physical violence,,16 to under 25 years,,,,.,,,
2014,(a) physical violence,,16 to under 25 years,,,,.,,,
2015,(a) physical violence,,16 to under 25 years,,,,.,,,
2016,(a) physical violence,,16 to under 25 years,,,,.,,,
2017,(a) physical violence,,16 to under 25 years,,,,,,,
2018,(a) physical violence,,16 to under 25 years,,,,.,,,
2019,(a) physical violence,,16 to under 25 years,,,,.,,,
2020,(a) physical violence,,16 to under 25 years,,,,|,r,,5.7
2021,(a) physical violence,,16 to under 25 years,,,,…,,,
2022,(a) physical violence,,16 to under 25 years,,,,…,,,
2023,(a) physical violence,,16 to under 25 years,,,,…,,,
2024,(a) physical violence,,16 to under 25 years,,,,…,,,
2010,(a) physical violence,,25 to under 35 years,,,,.,,,
2011,(a) physical violence,,25 to under 35 years,,,,.,,,
2012,(a) physical violence,,25 to under 35 years,,,,r,,,
2013,(a) physical violence,,25 to under 35 years,,,,.,,,
2014,(a) physical violence,,25 to under 35 years,,,,.,,,
2015,(a) physical violence,,25 to under 35 years,,,,.,,,
2016,(a) physical violence,,25 to under 35 years,,,,.,,,
2017,(a) physical violence,,25 to under 35 years,,,,,,,
2018,(a) physical violence,,25 to under 35 years,,,,.,,,
2019,(a) physical violence,,25 to under 35 years,,,,.,,,
2020,(a) physical violence,,25 to under 35 years,,,,|,r,,3.7
2021,(a) physical violence,,25 to under 35 years,,,,…,,,
2022,(a) physical violence,,25 to under 35 years,,,,…,,,
2023,(a) physical violence,,25 to under 35 years,,,,…,,,
2024,(a) physical violence,,25 to under 35 years,,,,…,,,
2010,(a) physical violence,,35 to under 45 years,,,,.,,,
2011,(a) physical violence,,35 to under 45 years,,,,.,,,
2012,(a) physical violence,,35 to under 45 years,,,,r,,,
2013,(a) physical violence,,35 to under 45 years,,,,.,,,
2014,(a) physical violence,,35 to under 45 years,,,,.,,,
2015,(a) physical violence,,35 to under 45 years,,,,.,,,
2016,(a) physical violence,,35 to under 45 years,,,,.,,,
2017,(a) physical violence,,35 to under 45 years,,,,.,,,
2018,(a) physical violence,,35 to under 45 years,,,,.,,,
2019,(a) physical violence,,35 to under 45 years,,,,.,,,
