Year,Units,sex,Series,Value
2010,%,,population who had the impression that public officials are corruptible,
2011,%,,population who had the impression that public officials are corruptible,
2012,%,,population who had the impression that public officials are corruptible,
2013,%,,population who had the impression that public officials are corruptible,
2014,%,,population who had the impression that public officials are corruptible,
2015,%,,population who had the impression that public officials are corruptible,4.65
2016,%,,population who had the impression that public officials are corruptible,
2017,%,,population who had the impression that public officials are corruptible,3.66
2018,%,,population who had the impression that public officials are corruptible,
2019,%,,population who had the impression that public officials are corruptible,4.67
2010,%,female,population who had the impression that public officials are corruptible,
2011,%,female,population who had the impression that public officials are corruptible,
2012,%,female,population who had the impression that public officials are corruptible,
2013,%,female,population who had the impression that public officials are corruptible,
2014,%,female,population who had the impression that public officials are corruptible,
2015,%,female,population who had the impression that public officials are corruptible,4.89
2016,%,female,population who had the impression that public officials are corruptible,
2017,%,female,population who had the impression that public officials are corruptible,3.75
2018,%,female,population who had the impression that public officials are corruptible,
2019,%,female,population who had the impression that public officials are corruptible,4.62
2010,%,male,population who had the impression that public officials are corruptible,
2011,%,male,population who had the impression that public officials are corruptible,
2012,%,male,population who had the impression that public officials are corruptible,
2013,%,male,population who had the impression that public officials are corruptible,
2014,%,male,population who had the impression that public officials are corruptible,
2015,%,male,population who had the impression that public officials are corruptible,4.36
2016,%,male,population who had the impression that public officials are corruptible,
2017,%,male,population who had the impression that public officials are corruptible,3.57
2018,%,male,population who had the impression that public officials are corruptible,
2019,%,male,population who had the impression that public officials are corruptible,4.56
2010,%,divers,population who had the impression that public officials are corruptible,
2011,%,divers,population who had the impression that public officials are corruptible,
2012,%,divers,population who had the impression that public officials are corruptible,
2013,%,divers,population who had the impression that public officials are corruptible,
2014,%,divers,population who had the impression that public officials are corruptible,
2015,%,divers,population who had the impression that public officials are corruptible,
2016,%,divers,population who had the impression that public officials are corruptible,
2017,%,divers,population who had the impression that public officials are corruptible,
2018,%,divers,population who had the impression that public officials are corruptible,
2019,%,divers,population who had the impression that public officials are corruptible,28.0
2010,number,,private persons (donors) suspected in the context of corruption offences,354.0
2011,number,,private persons (donors) suspected in the context of corruption offences,295.0
2012,number,,private persons (donors) suspected in the context of corruption offences,163.0
2013,number,,private persons (donors) suspected in the context of corruption offences,222.0
2014,number,,private persons (donors) suspected in the context of corruption offences,121.0
2015,number,,private persons (donors) suspected in the context of corruption offences,148.0
2016,number,,private persons (donors) suspected in the context of corruption offences,
2017,number,,private persons (donors) suspected in the context of corruption offences,
2018,number,,private persons (donors) suspected in the context of corruption offences,
2019,number,,private persons (donors) suspected in the context of corruption offences,
