Year,Units,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,million eur,,,,202.7
2011,million eur,,,,247.8
2012,million eur,,,,218.1
2013,million eur,,,,312.2
2014,million eur,,,,268.4
2015,million eur,,,,485.0
2016,million eur,,,,518.8
2017,million eur,,,,569.7
2018,million eur,,,,482.5
2019,million eur,,,,536.5
2020,million eur,,,,798.4
2021,million eur,,,,717.8
2022,million eur,,,,1284.6
2010,"million usd, constant prices (2022)",,,,273.9
2011,"million usd, constant prices (2022)",,,,331.2
2012,"million usd, constant prices (2022)",,,,287.3
2013,"million usd, constant prices (2022)",,,,403.3
2014,"million usd, constant prices (2022)",,,,340.4
2015,"million usd, constant prices (2022)",,,,603.9
2016,"million usd, constant prices (2022)",,,,637.4
2017,"million usd, constant prices (2022)",,,,689.6
2018,"million usd, constant prices (2022)",,,,572.5
2019,"million usd, constant prices (2022)",,,,623.4
2020,"million usd, constant prices (2022)",,,,910.5
2021,"million usd, constant prices (2022)",,,,794.7
2022,"million usd, constant prices (2022)",,,,1351.0
