Year,substance,bound,sex,Series,Value
2010,a) drugs,,,inpatient treatment of substance use disorders,37107.0
2011,a) drugs,,,inpatient treatment of substance use disorders,36848.0
2012,a) drugs,,,inpatient treatment of substance use disorders,36166.0
2013,a) drugs,,,inpatient treatment of substance use disorders,40556.0
2014,a) drugs,,,inpatient treatment of substance use disorders,49795.0
2015,a) drugs,,,inpatient treatment of substance use disorders,51919.0
2016,a) drugs,,,inpatient treatment of substance use disorders,52621.0
2017,a) drugs,,,inpatient treatment of substance use disorders,51806.0
2018,a) drugs,,,inpatient treatment of substance use disorders,52380.0
2019,a) drugs,,,inpatient treatment of substance use disorders,53490.0
2020,a) drugs,,,inpatient treatment of substance use disorders,47082.0
2010,a) drugs,,female,inpatient treatment of substance use disorders,10451.0
2011,a) drugs,,female,inpatient treatment of substance use disorders,10607.0
2012,a) drugs,,female,inpatient treatment of substance use disorders,10600.0
2013,a) drugs,,female,inpatient treatment of substance use disorders,11290.0
2014,a) drugs,,female,inpatient treatment of substance use disorders,13280.0
2015,a) drugs,,female,inpatient treatment of substance use disorders,13230.0
2016,a) drugs,,female,inpatient treatment of substance use disorders,13303.0
2017,a) drugs,,female,inpatient treatment of substance use disorders,12881.0
2018,a) drugs,,female,inpatient treatment of substance use disorders,12858.0
2019,a) drugs,,female,inpatient treatment of substance use disorders,12921.0
2020,a) drugs,,female,inpatient treatment of substance use disorders,11381.0
2010,a) drugs,,male,inpatient treatment of substance use disorders,26656.0
2011,a) drugs,,male,inpatient treatment of substance use disorders,26241.0
2012,a) drugs,,male,inpatient treatment of substance use disorders,25566.0
2013,a) drugs,,male,inpatient treatment of substance use disorders,29266.0
2014,a) drugs,,male,inpatient treatment of substance use disorders,36515.0
2015,a) drugs,,male,inpatient treatment of substance use disorders,38689.0
2016,a) drugs,,male,inpatient treatment of substance use disorders,39318.0
2017,a) drugs,,male,inpatient treatment of substance use disorders,38925.0
2018,a) drugs,,male,inpatient treatment of substance use disorders,39522.0
2019,a) drugs,,male,inpatient treatment of substance use disorders,40569.0
2020,a) drugs,,male,inpatient treatment of substance use disorders,35701.0
2010,a) drugs,,unknown,inpatient treatment of substance use disorders,
2011,a) drugs,,unknown,inpatient treatment of substance use disorders,
2012,a) drugs,,unknown,inpatient treatment of substance use disorders,
2013,a) drugs,,unknown,inpatient treatment of substance use disorders,
2014,a) drugs,,unknown,inpatient treatment of substance use disorders,
2015,a) drugs,,unknown,inpatient treatment of substance use disorders,
2016,a) drugs,,unknown,inpatient treatment of substance use disorders,
2017,a) drugs,,unknown,inpatient treatment of substance use disorders,
2018,a) drugs,,unknown,inpatient treatment of substance use disorders,
2019,a) drugs,,unknown,inpatient treatment of substance use disorders,
2020,a) drugs,,unknown,inpatient treatment of substance use disorders,
2010,b) alcohol and other psychoactive substances,,,inpatient treatment of substance use disorders,191512.0
2011,b) alcohol and other psychoactive substances,,,inpatient treatment of substance use disorders,192159.0
2012,b) alcohol and other psychoactive substances,,,inpatient treatment of substance use disorders,195976.0
2013,b) alcohol and other psychoactive substances,,,inpatient treatment of substance use disorders,194412.0
2014,b) alcohol and other psychoactive substances,,,inpatient treatment of substance use disorders,185305.0
2015,b) alcohol and other psychoactive substances,,,inpatient treatment of substance use disorders,176185.0
2016,b) alcohol and other psychoactive substances,,,inpatient treatment of substance use disorders,170467.0
2017,b) alcohol and other psychoactive substances,,,inpatient treatment of substance use disorders,165834.0
2018,b) alcohol and other psychoactive substances,,,inpatient treatment of substance use disorders,161247.0
2019,b) alcohol and other psychoactive substances,,,inpatient treatment of substance use disorders,159421.0
