Year,timeseries,sex,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,current tobacco use,,.,,,
2011,current tobacco use,,.,,,
2012,current tobacco use,,.,,,
2013,current tobacco use,,,,,24.5
2014,current tobacco use,,.,,,
2015,current tobacco use,,.,,,
2016,current tobacco use,,.,,,
2017,current tobacco use,,,,,22.4
2018,current tobacco use,,.,,,
2019,current tobacco use,,.,,,
2020,current tobacco use,,.,,,
2021,current tobacco use,,,,,18.9
2022,current tobacco use,,.,,,
2023,current tobacco use,,.,,,
2024,current tobacco use,,.,,,
2025,current tobacco use,,,,,19.1
2010,current tobacco use,female,.,,,
2011,current tobacco use,female,.,,,
2012,current tobacco use,female,.,,,
2013,current tobacco use,female,,,,20.3
2014,current tobacco use,female,.,,,
2015,current tobacco use,female,.,,,
2016,current tobacco use,female,.,,,
2017,current tobacco use,female,,,,18.6
2018,current tobacco use,female,.,,,
2019,current tobacco use,female,.,,,
2020,current tobacco use,female,.,,,
2021,current tobacco use,female,,,,15.7
2022,current tobacco use,female,.,,,
2023,current tobacco use,female,.,,,
2024,current tobacco use,female,.,,,
2025,current tobacco use,female,,,,15.8
2010,current tobacco use,male,.,,,
2011,current tobacco use,male,.,,,
2012,current tobacco use,male,.,,,
2013,current tobacco use,male,,,,29.0
2014,current tobacco use,male,.,,,
2015,current tobacco use,male,.,,,
2016,current tobacco use,male,.,,,
2017,current tobacco use,male,,,,26.4
2018,current tobacco use,male,.,,,
2019,current tobacco use,male,.,,,
2020,current tobacco use,male,.,,,
2021,current tobacco use,male,,,,22.3
2022,current tobacco use,male,.,,,
2023,current tobacco use,male,.,,,
2024,current tobacco use,male,.,,,
2025,current tobacco use,male,,,,22.4
2010,current tobacco use (age-standardised to who standard population),,.,,,
2011,current tobacco use (age-standardised to who standard population),,.,,,
2012,current tobacco use (age-standardised to who standard population),,.,,,
2013,current tobacco use (age-standardised to who standard population),,,,,27.6
2014,current tobacco use (age-standardised to who standard population),,.,,,
2015,current tobacco use (age-standardised to who standard population),,.,,,
2016,current tobacco use (age-standardised to who standard population),,.,,,
2017,current tobacco use (age-standardised to who standard population),,,,,24.4
2018,current tobacco use (age-standardised to who standard population),,.,,,
2019,current tobacco use (age-standardised to who standard population),,.,,,
2020,current tobacco use (age-standardised to who standard population),,.,,,
2021,current tobacco use (age-standardised to who standard population),,,,,20.2
2022,current tobacco use (age-standardised to who standard population),,…,,,
2023,current tobacco use (age-standardised to who standard population),,…,,,
2024,current tobacco use (age-standardised to who standard population),,…,,,
2025,current tobacco use (age-standardised to who standard population),,…,,,
