Year,Units,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,million eur,,,,139.9
2011,million eur,,,,93.8
2012,million eur,,,,117.9
2013,million eur,,,,180.2
2014,million eur,,,,198.9
2015,million eur,,,,256.6
2016,million eur,,,,310.9
2017,million eur,,,,380.0
2018,million eur,,,,408.6
2019,million eur,,,,449.8
2020,million eur,,,,1494.2
2021,million eur,,,,1826.5
2022,million eur,,,,2571.7
2023,million eur,,,,549.2
2010,"million usd, constant prices (2023)",,,,206.6
2011,"million usd, constant prices (2023)",,,,136.7
2012,"million usd, constant prices (2023)",,,,169.5
2013,"million usd, constant prices (2023)",,,,253.9
2014,"million usd, constant prices (2023)",,,,275.2
2015,"million usd, constant prices (2023)",,,,349.1
2016,"million usd, constant prices (2023)",,,,417.7
2017,"million usd, constant prices (2023)",,,,503.0
2018,"million usd, constant prices (2023)",,,,531.0
2019,"million usd, constant prices (2023)",,,,573.0
2020,"million usd, constant prices (2023)",,,,1870.4
2021,"million usd, constant prices (2023)",,,,2224.2
2022,"million usd, constant prices (2023)",,,,2951.7
2023,"million usd, constant prices (2023)",,,,593.9
