Year,Units,age group,sex,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,percentage,15 to under 25 years,,,,,75.837
2011,percentage,15 to under 25 years,,,,,76.789
2012,percentage,15 to under 25 years,,,,,77.862
2013,percentage,15 to under 25 years,,,,,78.711
2014,percentage,15 to under 25 years,,,,,78.927
2015,percentage,15 to under 25 years,,,,,79.76
2016,percentage,15 to under 25 years,,,,,79.134
2017,percentage,15 to under 25 years,,,,,79.603
2018,percentage,15 to under 25 years,,,,,79.605
2019,percentage,15 to under 25 years,,,,,79.357
2020,percentage,15 to under 25 years,,|,,,79.956
2021,percentage,15 to under 25 years,,r,,,77.662
2022,percentage,15 to under 25 years,,r,,,77.789
2023,percentage,15 to under 25 years,,,,,77.07
2024,percentage,15 to under 25 years,,p,,,77.414
2010,number,15 to under 25 years,,,,,6854.84
2011,number,15 to under 25 years,,,,,6685.93
2012,number,15 to under 25 years,,,,,6666.332
2013,number,15 to under 25 years,,,,,6717.407
2014,number,15 to under 25 years,,,,,6677.865
2015,number,15 to under 25 years,,,,,6685.208
2016,number,15 to under 25 years,,,,,6725.985
2017,number,15 to under 25 years,,,,,6758.986
2018,number,15 to under 25 years,,,,,6710.186
2019,number,15 to under 25 years,,,,,6673.422
2020,number,15 to under 25 years,,|,,,6710.363
2021,number,15 to under 25 years,,r,,,6263.858
2022,number,15 to under 25 years,,r,,,6318.008
2023,number,15 to under 25 years,,,,,6356.216
2024,number,15 to under 25 years,,p,,,6406.891
2010,percentage,15 to under 25 years,female,,,,76.754
2011,percentage,15 to under 25 years,female,,,,77.776
2012,percentage,15 to under 25 years,female,,,,78.684
2013,percentage,15 to under 25 years,female,,,,79.211
2014,percentage,15 to under 25 years,female,,,,79.414
2015,percentage,15 to under 25 years,female,,,,80.144
2016,percentage,15 to under 25 years,female,,,,79.49
2017,percentage,15 to under 25 years,female,,,,80.218
2018,percentage,15 to under 25 years,female,,,,80.649
2019,percentage,15 to under 25 years,female,,,,80.717
2020,percentage,15 to under 25 years,female,|,,,80.894
2021,percentage,15 to under 25 years,female,r,,,79.353
2022,percentage,15 to under 25 years,female,r,,,79.477
2023,percentage,15 to under 25 years,female,,,,79.035
2024,percentage,15 to under 25 years,female,p,,,79.117
2010,number,15 to under 25 years,female,,,,3407.51
2011,number,15 to under 25 years,female,,,,3321.95
2012,number,15 to under 25 years,female,,,,3281.536
2013,number,15 to under 25 years,female,,,,3279.818
2014,number,15 to under 25 years,female,,,,3251.84
2015,number,15 to under 25 years,female,,,,3237.397
2016,number,15 to under 25 years,female,,,,3223.503
2017,number,15 to under 25 years,female,,,,3234.974
2018,number,15 to under 25 years,female,,,,3246.372
2019,number,15 to under 25 years,female,,,,3255.38
2020,number,15 to under 25 years,female,|,,,3274.041
