Year,Units,type of financial flow,type of official development assistance,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,million eur,official development assistance,commitments,,,,1797.123
2011,million eur,official development assistance,commitments,,,,1106.844
2012,million eur,official development assistance,commitments,,,,964.189
2013,million eur,official development assistance,commitments,,,,1267.905
2014,million eur,official development assistance,commitments,,,,2889.356
2015,million eur,official development assistance,commitments,,,,1768.523
2016,million eur,official development assistance,commitments,,,,2103.052
2017,million eur,official development assistance,commitments,,,,1725.509
2018,million eur,official development assistance,commitments,,,,2454.271
2019,million eur,official development assistance,commitments,,,,1249.739
2020,million eur,official development assistance,commitments,,,,1214.012
2021,million eur,official development assistance,commitments,,,,1250.024
2022,million eur,official development assistance,commitments,,,,3197.093
2023,million eur,official development assistance,commitments,,,,2621.629
2024,million eur,official development assistance,commitments,,,,1880.908
2010,million eur,official development assistance,gross disbursements,,,,953.759
2011,million eur,official development assistance,gross disbursements,,,,695.003
2012,million eur,official development assistance,gross disbursements,,,,535.244
2013,million eur,official development assistance,gross disbursements,,,,892.546
2014,million eur,official development assistance,gross disbursements,,,,1172.503
2015,million eur,official development assistance,gross disbursements,,,,1531.453
2016,million eur,official development assistance,gross disbursements,,,,1511.822
2017,million eur,official development assistance,gross disbursements,,,,1264.141
2018,million eur,official development assistance,gross disbursements,,,,1388.628
2019,million eur,official development assistance,gross disbursements,,,,1274.053
2020,million eur,official development assistance,gross disbursements,,,,1455.283
2021,million eur,official development assistance,gross disbursements,,,,1278.401
2022,million eur,official development assistance,gross disbursements,,,,1854.243
2023,million eur,official development assistance,gross disbursements,,,,1893.147
2024,million eur,official development assistance,gross disbursements,,,,2289.163
2010,million eur,other official flows,commitments,‒,,,0.0
2011,million eur,other official flows,commitments,‒,,,0.0
2012,million eur,other official flows,commitments,‒,,,0.0
2013,million eur,other official flows,commitments,‒,,,0.0
2014,million eur,other official flows,commitments,‒,,,0.0
2015,million eur,other official flows,commitments,‒,,,0.0
