Year,age group,sex,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,13 years and younger,,,,,11.0
2011,13 years and younger,,,,,29.0
2012,13 years and younger,,,,,19.0
2013,13 years and younger,,,,,18.0
2014,13 years and younger,,,,,22.0
2015,13 years and younger,,,,,19.0
2016,13 years and younger,,,,,36.0
2017,13 years and younger,,,,,67.0
2018,13 years and younger,,,,,18.0
2019,13 years and younger,,,,,15.0
2020,13 years and younger,,,,,31.0
2021,13 years and younger,,,,,36.0
2022,13 years and younger,,,,,20.0
2023,13 years and younger,,,,,13.0
2024,13 years and younger,,,,,17.0
2010,13 years and younger,female,,,,2.0
2011,13 years and younger,female,,,,13.0
2012,13 years and younger,female,,,,11.0
2013,13 years and younger,female,,,,6.0
2014,13 years and younger,female,,,,9.0
2015,13 years and younger,female,,,,7.0
2016,13 years and younger,female,,,,15.0
2017,13 years and younger,female,,,,16.0
2018,13 years and younger,female,,,,9.0
2019,13 years and younger,female,,,,9.0
2020,13 years and younger,female,,,,10.0
2021,13 years and younger,female,,,,17.0
2022,13 years and younger,female,,,,13.0
2023,13 years and younger,female,,,,8.0
2024,13 years and younger,female,,,,11.0
2010,13 years and younger,male,,,,9.0
2011,13 years and younger,male,,,,16.0
2012,13 years and younger,male,,,,8.0
2013,13 years and younger,male,,,,12.0
2014,13 years and younger,male,,,,13.0
2015,13 years and younger,male,,,,12.0
2016,13 years and younger,male,,,,21.0
2017,13 years and younger,male,,,,51.0
2018,13 years and younger,male,,,,9.0
2019,13 years and younger,male,,,,6.0
2020,13 years and younger,male,,,,21.0
2021,13 years and younger,male,,,,19.0
2022,13 years and younger,male,,,,7.0
2023,13 years and younger,male,,,,5.0
2024,13 years and younger,male,…,,,
2010,14 to under 18 years,,,,,108.0
2011,14 to under 18 years,,,,,95.0
2012,14 to under 18 years,,,,,96.0
2013,14 to under 18 years,,,,,92.0
2014,14 to under 18 years,,,,,76.0
2015,14 to under 18 years,,,,,87.0
2016,14 to under 18 years,,,,,111.0
2017,14 to under 18 years,,,,,53.0
2018,14 to under 18 years,,,,,112.0
2019,14 to under 18 years,,,,,89.0
2020,14 to under 18 years,,,,,86.0
2021,14 to under 18 years,,,,,82.0
2022,14 to under 18 years,,,,,86.0
2023,14 to under 18 years,,,,,67.0
2024,14 to under 18 years,,,,,70.0
2010,14 to under 18 years,female,,,,97.0
2011,14 to under 18 years,female,,,,82.0
2012,14 to under 18 years,female,,,,88.0
2013,14 to under 18 years,female,,,,79.0
2014,14 to under 18 years,female,,,,66.0
2015,14 to under 18 years,female,,,,80.0
2016,14 to under 18 years,female,,,,100.0
2017,14 to under 18 years,female,,,,49.0
2018,14 to under 18 years,female,,,,96.0
2019,14 to under 18 years,female,,,,74.0
2020,14 to under 18 years,female,,,,62.0
2021,14 to under 18 years,female,,,,64.0
2022,14 to under 18 years,female,,,,72.0
2023,14 to under 18 years,female,,,,61.0
2024,14 to under 18 years,female,,,,55.0
2010,14 to under 18 years,male,,,,11.0
2011,14 to under 18 years,male,,,,13.0
2012,14 to under 18 years,male,,,,8.0
2013,14 to under 18 years,male,,,,13.0
2014,14 to under 18 years,male,,,,10.0
2015,14 to under 18 years,male,,,,7.0
2016,14 to under 18 years,male,,,,11.0
2017,14 to under 18 years,male,,,,4.0
2018,14 to under 18 years,male,,,,16.0
2019,14 to under 18 years,male,,,,15.0
2020,14 to under 18 years,male,,,,24.0
2021,14 to under 18 years,male,,,,18.0
2022,14 to under 18 years,male,,,,14.0
2023,14 to under 18 years,male,,,,6.0
2024,14 to under 18 years,male,,,,15.0
2010,,,,,,119.0
2011,,,,,,124.0
2012,,,,,,115.0
2013,,,,,,110.0
2014,,,,,,98.0
2015,,,,,,106.0
2016,,,,,,147.0
2017,,,,,,120.0
2018,,,,,,130.0
2019,,,,,,104.0
2020,,,,,,117.0
2021,,,,,,118.0
2022,,,,,,106.0
2023,,,,,,80.0
2024,,,,,,87.0
2010,,female,,,,99.0
2011,,female,,,,95.0
2012,,female,,,,99.0
2013,,female,,,,85.0
2014,,female,,,,75.0
2015,,female,,,,87.0
2016,,female,,,,115.0
2017,,female,,,,65.0
2018,,female,,,,105.0
2019,,female,,,,83.0
2020,,female,,,,72.0
2021,,female,,,,81.0
2022,,female,,,,85.0
2023,,female,,,,69.0
2024,,female,,,,66.0
2010,,male,,,,20.0
2011,,male,,,,29.0
2012,,male,,,,16.0
2013,,male,,,,25.0
2014,,male,,,,23.0
2015,,male,,,,19.0
2016,,male,,,,32.0
2017,,male,,,,55.0
2018,,male,,,,25.0
2019,,male,,,,21.0
2020,,male,,,,45.0
2021,,male,,,,37.0
2022,,male,,,,21.0
2023,,male,,,,11.0
2024,,male,,,,21.0
