Year,Units,mode of transport,Series,Value
2010,mn pkm,,passenger transports,1117240
2011,mn pkm,,passenger transports,1131004
2012,mn pkm,,passenger transports,1135558
2013,mn pkm,,passenger transports,1143475
2014,mn pkm,,passenger transports,1162942
2015,mn pkm,,passenger transports,1180646
2016,mn pkm,,passenger transports,1204775
2017,mn pkm,,passenger transports,1155136
2018,mn pkm,,passenger transports,1161885
2019,mn pkm,,passenger transports,1170186
2020,mn pkm,,passenger transports,945755
2010,mn pkm,road transport,passenger transports,78092
2011,mn pkm,road transport,passenger transports,77957
2012,mn pkm,road transport,passenger transports,76019
2013,mn pkm,road transport,passenger transports,76146
2014,mn pkm,road transport,passenger transports,78786
2015,mn pkm,road transport,passenger transports,81771
2016,mn pkm,road transport,passenger transports,81445
2017,mn pkm,road transport,passenger transports,79730
2018,mn pkm,road transport,passenger transports,80103
2019,mn pkm,road transport,passenger transports,78919
2020,mn pkm,road transport,passenger transports,45735
2010,mn pkm,rail transport,passenger transports,83886
2011,mn pkm,rail transport,passenger transports,85414
2012,mn pkm,rail transport,passenger transports,88795
2013,mn pkm,rail transport,passenger transports,89615
2014,mn pkm,rail transport,passenger transports,90976
2015,mn pkm,rail transport,passenger transports,91603
2016,mn pkm,rail transport,passenger transports,94196
2017,mn pkm,rail transport,passenger transports,95530
2018,mn pkm,rail transport,passenger transports,98061
2019,mn pkm,rail transport,passenger transports,102026
2020,mn pkm,rail transport,passenger transports,58816
2010,mn pkm,commercial air transport,passenger transports,52822
2011,mn pkm,commercial air transport,passenger transports,55215
2012,mn pkm,commercial air transport,passenger transports,56180
2013,mn pkm,commercial air transport,passenger transports,56294
2014,mn pkm,commercial air transport,passenger transports,58223
2015,mn pkm,commercial air transport,passenger transports,61543
2016,mn pkm,commercial air transport,passenger transports,63983
2017,mn pkm,commercial air transport,passenger transports,67523
2018,mn pkm,commercial air transport,passenger transports,70445
2019,mn pkm,commercial air transport,passenger transports,71841
2020,mn pkm,commercial air transport,passenger transports,18704
2010,mn pkm,motorised private transport,passenger transports,902440
2011,mn pkm,motorised private transport,passenger transports,912417
2012,mn pkm,motorised private transport,passenger transports,914563
2013,mn pkm,motorised private transport,passenger transports,921420
2014,mn pkm,motorised private transport,passenger transports,934957
