Year,Value,Units
2010,,"1,000 tonnes"
2011,,"1,000 tonnes"
2012,,"1,000 tonnes"
2013,,"1,000 tonnes"
2014,,"1,000 tonnes"
2015,,"1,000 tonnes"
2016,,"1,000 tonnes"
2017,,"1,000 tonnes"
2018,,"1,000 tonnes"
2019,,"1,000 tonnes"
2020,9147.0,"1,000 tonnes"
2021,9214.0,"1,000 tonnes"
2022,9040.0,"1,000 tonnes"
2023,8859.0,"1,000 tonnes"
2010,,kilogram per capita
2011,,kilogram per capita
2012,,kilogram per capita
2013,,kilogram per capita
2014,,kilogram per capita
2015,,kilogram per capita
2016,,kilogram per capita
2017,,kilogram per capita
2018,,kilogram per capita
2019,,kilogram per capita
2020,110.0,kilogram per capita
2021,110.0,kilogram per capita
2023,106.0,kilogram per capita
