Year,Value,Units
2010,202.7,million eur
2011,247.8,million eur
2012,218.1,million eur
2013,312.2,million eur
2014,268.4,million eur
2015,485.0,million eur
2016,518.8,million eur
2017,569.7,million eur
2018,482.5,million eur
2019,536.5,million eur
2020,798.4,million eur
2021,717.8,million eur
2022,1284.6,million eur
2023,661.7,million eur
2010,299.2,"million usd, constant prices (2023)"
2011,361.3,"million usd, constant prices (2023)"
2012,313.5,"million usd, constant prices (2023)"
2013,439.9,"million usd, constant prices (2023)"
2014,371.3,"million usd, constant prices (2023)"
2015,659.7,"million usd, constant prices (2023)"
2016,696.8,"million usd, constant prices (2023)"
2017,754.1,"million usd, constant prices (2023)"
2018,626.9,"million usd, constant prices (2023)"
2019,683.5,"million usd, constant prices (2023)"
2020,999.5,"million usd, constant prices (2023)"
2021,874.1,"million usd, constant prices (2023)"
2022,1474.4,"million usd, constant prices (2023)"
2023,715.6,"million usd, constant prices (2023)"
