Year,Value,Units,Series
2010,1239.0,million tonnes,domestic material consumption (dmc)
2011,1322.0,million tonnes,domestic material consumption (dmc)
2012,1276.0,million tonnes,domestic material consumption (dmc)
2013,1276.0,million tonnes,domestic material consumption (dmc)
2014,1285.0,million tonnes,domestic material consumption (dmc)
2015,1243.0,million tonnes,domestic material consumption (dmc)
2016,1259.0,million tonnes,domestic material consumption (dmc)
2017,1274.0,million tonnes,domestic material consumption (dmc)
2018,1234.0,million tonnes,domestic material consumption (dmc)
2019,1191.0,million tonnes,domestic material consumption (dmc)
2020,1156.0,million tonnes,domestic material consumption (dmc)
2021,1187.0,million tonnes,domestic material consumption (dmc)
2022,1140.0,million tonnes,domestic material consumption (dmc)
2023,1024.0,million tonnes,domestic material consumption (dmc)
2010,15.4,tonnes per capita,domestic material consumption (dmc)
2011,16.5,tonnes per capita,domestic material consumption (dmc)
2012,15.9,tonnes per capita,domestic material consumption (dmc)
2013,15.8,tonnes per capita,domestic material consumption (dmc)
2014,15.9,tonnes per capita,domestic material consumption (dmc)
2015,15.2,tonnes per capita,domestic material consumption (dmc)
2016,15.3,tonnes per capita,domestic material consumption (dmc)
2017,15.4,tonnes per capita,domestic material consumption (dmc)
2018,14.9,tonnes per capita,domestic material consumption (dmc)
2019,14.3,tonnes per capita,domestic material consumption (dmc)
2020,13.9,tonnes per capita,domestic material consumption (dmc)
2021,14.3,tonnes per capita,domestic material consumption (dmc)
2023,12.3,tonnes per capita,domestic material consumption (dmc)
2010,119.9,2020 = 100,domestic material consumption per real gdp
2011,123.2,2020 = 100,domestic material consumption per real gdp
2012,118.4,2020 = 100,domestic material consumption per real gdp
2013,118.0,2020 = 100,domestic material consumption per real gdp
2014,116.3,2020 = 100,domestic material consumption per real gdp
2015,110.6,2020 = 100,domestic material consumption per real gdp
2017,107.9,2020 = 100,domestic material consumption per real gdp
2020,100.0,2020 = 100,domestic material consumption per real gdp
2021,98.7,2020 = 100,domestic material consumption per real gdp
