Year,Value,Units,Series
2010,1117240,mn pkm,passenger transports
2011,1131004,mn pkm,passenger transports
2012,1135558,mn pkm,passenger transports
2013,1143475,mn pkm,passenger transports
2014,1162942,mn pkm,passenger transports
2015,1180646,mn pkm,passenger transports
2016,1204775,mn pkm,passenger transports
2017,1155136,mn pkm,passenger transports
2018,1161885,mn pkm,passenger transports
2019,1170186,mn pkm,passenger transports
2020,945755,mn pkm,passenger transports
2010,627882,mn tkm,freight transports
2011,628083,mn tkm,freight transports
2012,618179,mn tkm,freight transports
2013,634973,mn tkm,freight transports
2014,642604,mn tkm,freight transports
2015,655708,mn tkm,freight transports
2016,676893,mn tkm,freight transports
2017,692578,mn tkm,freight transports
2018,694963,mn tkm,freight transports
2019,697942,mn tkm,freight transports
2020,670460,mn tkm,freight transports
