Value,Disaggregation combinations using this value,Number of indicators
1 to under 15 years,8,1
1 to under 18 years,8,1
11 months and younger,3,1
12 to under 18 years,5,2
13 years and younger,38,4
14 to under 18 years,38,4
14 years and younger,4,3
15 to under 18 years,8,1
15 to under 25 years,45,5
15 years and older,54,1
15 years,1,1
15.5 years,1,1
16 to under 25 years,24,6
16 to under 66 years,1,1
16 years,1,1
16.5 years,1,1
17 years and younger,4,3
17 years,1,1
17.5 years,1,1
18 to under 21 years,29,3
18 to under 30 years,1,1
18 to under 65 years,6,3
21 to under 25 years,2,1
21 to under 60 years,27,2
25 to under 35 years,17,5
25 to under 45 years,54,1
25 to under 55 years,3,1
25 to under 65 years,10,3
25 to under 75 years,3,1
25 years and older,2,1
30 to under 45 years,1,1
35 to under 45 years,17,5
4 years and younger,7,2
45 to under 55 years,70,6
45 to under 65 years,1,1
5 years and younger,5,2
55 to under 65 years,62,7
6 to under 12 years,5,2
60 years and older,27,2
65 to under 75 years,18,6
65 years and older,43,5
75 years and older,17,5
unknown age,2,1
