Value,Disaggregation combinations using this value,Number of indicators
accommodation for visitors: hotels and similar establishments,7,1
accommodation for visitors: other,6,1
"agriculture, forestry and fishing",5,1
agriculture,2,1
air passenger transport,6,1
cultural activities,3,1
food and beverage serving activities,6,1
forestry,2,1
mimec,5,1
railway passenger transport,3,1
road passenger transport,6,1
services,5,1
sports and recreational activities,3,1
transport equipment rental,6,1
travel agencies and other reservation service activities,6,1
water passenger transport,6,1
