Value,Disaggregation combinations using this value,Number of indicators
air and climate (cep 01),1,1
cross-cutting and other environmental purposes (cep 08),1,1
energy from renewable sources (cep 0201),1,1
energy savings and management (cep 0202),1,1
management of forest resources (cep 0503),1,1
materials recovery and savings (cep 0402),1,1
noise and radiation (cep 06),1,1
protection of biodiversity and landscape (cep 0502),1,1
"protection of soil, surface and groundwater (cep 0501)",1,1
"research and development in the field of environmental protection (cep 0701, 0703, 0705, 0707 und 0709)",1,1
"research and development in the field of resource management (cep 0702, 0704, 0706 und 0708)",1,1
waste management (cep 0401),1,1
wastewater management (cep 0301),1,1
water savings and management of natural water resources (cep 0302),1,1
