Value,Disaggregation combinations using this value,Number of indicators
corporations,2,1
"education, science, research, cultural affairs",2,1
"energy and water management, trade, services",2,1
financial services,2,1
"food, agriculture and forestry",2,1
general government,2,1
general services,2,1
"health, environment, sport and recreation",2,1
"housing, urban development, regional planning and municipal community services",2,1
"social security, family and youth, labour market policy",2,1
transport and communications,2,1
