Value,Disaggregation combinations using this value,Number of indicators
accessibility within 10 minutes on foot,9,1
accessibility within 500 m,51,1
applications finally processed,6,1
applications received,2,1
commitments (oda and oof),5,2
commitments (oda),9,3
cultural services (cofog 8.2),3,1
direct transfers of funds,8,1
gross disbursements (oda and oof),6,3
gross disbursements (oda),11,4
imputed student costs,2,1
inpatient treatment,26,1
other related purposes,3,1
people requiring interventions,10,1
protection of biodiversity and landscape (cofog 5.4),3,1
scholarships,2,1
tax breaks,4,1
total,6,1
water and sanitation,3,1
